CONTRATO Nº;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
06/2023;GOLDMAN SOLUÇÕES EM SANEAMENTO EIRELI;05/05/2023;PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO, SOB DEMANDA, DE SUCÇÃO POR BOMBEAMENTO DE CHORUME NA UNIDADE DE RECEBIMENTO DE ENTULHO - URE (ÁREA ESPECIAL, QD. 15, CONJUNTO C1, SCIA/ESTRUTURAL), TRANSPORTE E DESCARTE EM LAGOA DE ACUMULAÇÃO DO ATERRO SANITÁRIO DE BRASÍLIA - ASB (RODOVIA DF 180, KM 16, SAMAMBAIA);;09/05/2025;R$ 2.671.584,00;FELIPE LEITE NISIYAM, PAULA DE SOUSA ALVES;;
17/2024;JM MIX CONSTRUTORA E COMERCIO EIRELI;25/04/2024;PONTO DE ENTREGA VOLUNTÁRIA - GRANJA DO TORTO E RIACHO FUNDO;;24/04/2025;R$ 771.250,00;;FERNANDO EDSON OLIVEIRA PEREIRA,;
;;;;;;;;EDMUNDO PACHECO GADELHA, ANA SOFIA;
;;;;;;;;CAVALCANTI JUCÁ, FABIANE THAIS ROMEIRO;
;;;;;;;;TEZONI DE ALMEIDA;
20/2024;AVISERRA SOLUÇÕES AMBIENTAIS;27/05/2024;AVISERRA SOLUÇÕES AMBIENTAIS;;27/05/2025;R$ 4.577.444,67;EDMUNDO PACHECO GADELHA, GLORIA LUSTOSA PIRES, DANIEL ROCHA ALVES;;
19/2024;JM MIX CONSTRUTORA E COMERCIO EIRELI;21/05/2024;PONTOS DE ENTREGA VOLUNTÁRIA - PEVS NAS REGIÕES ADMINISTRATIVAS DO ITAPOÃ – (RA XXVIII) E PLANALTINA - (RA VI);;20/05/2025;R$ 771.250,00;;FERNANDO EDSON OLIVEIRA PEREIRA,;
;;;;;;;;EDMUNDO PACHECO GADELHA, GLAYSON;
;;;;;;;;LUIZ ALVARENGA CHAMICO;
