GALPÃO PRÓPRIO SOBRADINHO - Cooperativa Cooperdife;Mês;;;;Quantidade Mensal;;;Quantidade Mensal de;
;;;;;Recebida (Ton);;;Rejeito (Ton);
;;Janeiro;;142,93;;;58,93;;
;;Fevereiro;;134,63;;;59,85;;
;;Março;;159,11;;;50,79;;
;;Abril;;148,63;;;60,93;;
;;Maio;;162,89;;;58,31;;
;;Junho;;151,04;;;41,06;;
;;Julho;;156,92;;;25,30;;
;;Agosto;;170,92;;;45,41;;
;;Setembro;;130,58;;;29,85;;
;;Outubro;;115,84;;;37,53;;
;;Novembro;;113,56;;;41,03;;
;;Dezembro;;160,31;;;37,30;;
;;TOTAL;;;1.747,36;;;546,29;
GALPÃO PRÓPRIO Varjão - Cooperativa CRV;Mês;;;;Quantidade Mensal;;;Quantidade Mensal de;
;;;;;Recebida (Ton);;;Rejeito (Ton);
;;Janeiro;;64,37;;;23,29;;
;;Fevereiro;;49,40;;;24,30;;
;;Março;;110,51;;;8,29;;
;;Abril;;64,05;;;28,96;;
;;Maio;;61,15;;;28,47;;
;;Junho;;58,61;;;27,27;;
;;Julho;;57,26;;;6,30;;
;;Agosto;;62,51;;;4,17;;
;;Setembro;;49,53;;;24,47;;
;;Outubro;;55,23;;;30,81;;
;;Novembro;;55,71;;;26,47;;
;;Dezembro;;61,50;;;13,76;;
;;TOTAL;;;749,83;;;246,56;
GALPÃO PRÓPRIO PLANALTINA - Cooperativas Planalto e Reciclamais;Mês;;;;Quantidade Mensal;;;Quantidade Mensal de;
;;;;;Recebida (Ton);;;Rejeito (Ton);
;;Janeiro;;;37,67;;;2,37;
;;Fevereiro;;;29,63;;;4,16;
;;Março;;;31,52;;;3,55;
;;Abril;;;24,10;;;3,95;
