;DESPESAS COM ÁGUA, LUZ, TELEFONE, IPTU E TLP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Empresa;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;TOTAL;
Neoenergia;;;R$ 77.858;;;R$ 166.109;;;R$ 153.347;;;R$ 112.853;;;R$ 303.745;;;R$ 282.721;;;R$ 166.583;;;R$ 182.051;;;R$ 136.291;;;R$ 113.063;;;R$ 118.956;;;R$ 50.271;;;;R$ 1.863.848;
Caesb;;;R$ 23.611;;;R$ 20.392;;;R$ 22.270;;;R$ 23.744;;;R$ 13.774;;;R$ 22.504;;;R$ 21.646;;;R$ 27.067;;;R$ 36.543;;;R$ 36.909;;;R$ 29.106;;;R$ 23.904;;;;R$ 301.469;
Telefonia Fixa;;;R$ 12.017;;;R$ 11.801;;;R$ 12.033;;;R$ 12.008;;;R$ 12.057;;;R$ 11.745;;;R$ 12.099;;;R$ 12.106;;;R$ 11.984;;;R$ 12.217;;;R$ 11.914;;;R$ 11.937;;;;R$ 143.917;
Telefonia Móvel;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;;-;
TLP;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;;-;
IPTU;;;-;;;-;;;-;;;-;;;R$ 68.492;;;R$ 98.327;;;-;;;-;;;-;;;-;;;-;;;-;;;;R$ 166.819;
;TOTAL MENSAL;;;R$ 113.485;;;R$ 198.302;;;R$ 187.649;;;R$ 148.605;;;R$ 398.069;;;R$ 415.297;;;R$ 200.328;;;R$ 221.224;;;R$ 184.818;;;R$ 162.189;;;R$ 159.975;;;R$ 86.112;;;R$ 2.476.054;
