;VALORES DAS FONTES;;;;;;;;;;;;;;;;;;;;;;
;FONTE;;;100;;;114;;;183;;;220;;;300;;;335;;;TOTAL;
;Janeiro;;R$ 91.910.912,00;;;R$ 13.772.096,20;;;R$ 281.350,57;;;R$ 500.719,68;;;-;;;-;;;;R$ 106.465.078,45;
;Fevereiro;;R$ 69.038.155,55;;;R$ 2.249.445,16;;;R$ 5.021.623,74;;;R$ 871.274,80;;;-;;;-;;;;R$ 77.180.499,25;
;Março;;R$ 58.599.243,32;;;R$ 1.196.523,57;;;R$ 6.144.706,43;;;R$ 647.986,91;;;-;;;-;;;;R$ 66.588.460,23;
;Abril;;R$ 15.983.852,06;;;R$ 24.963.097,67;;;R$ 13.610.085,08;;;R$ 439.932,84;;;-;;;-;;;;R$ 54.996.967,65;
;Maio;;R$ 46.395.775,71;;;R$ 32.986.648,46;;;R$ 1.185.690,55;;;R$ 351.110,17;;;-;;;-;;;;R$ 80.919.224,89;
;Junho;;R$ 17.338.539,42;;;R$ 32.466.733,73;;;R$ 19.846.035,87;;;R$ 842.145,66;;;-;;;-;;;;R$ 70.493.454,68;
;Julho;;R$ 46.462.514,37;;;R$ 8.617.714,85;;;R$ 16.480.618,43;;;R$ 306.209,48;;;-;;;-;;;;R$ 71.867.057,13;
;Agosto;;R$ 36.897.367,35;;;R$ 17.737.119,50;;;R$ 15.103.920,02;;;R$ 930.441,84;;;-;;;-;;;;R$ 70.668.848,71;
;Setembro;;R$ 55.671.370,44;;;R$ 10.951.372,37;;;R$ 900.727,87;;;R$ 2.029.203,43;;;-;;;-;;;;R$ 69.552.674,11;
;Outubro;;R$ 61.041.423,96;;;R$ 13.041.825,25;;;R$ 1.021.023,48;;;R$ 795.591,56;;;-;;;-;;;;R$ 75.899.864,25;
;Novembro;;R$ 58.201.936,96;;;R$ 6.461.460,40;;;R$ 2.039.317,15;;;R$ 795.591,56;;;R$ 3.279.104,24;;;R$ 1.353.787,46;;;;R$ 72.131.197,77;
;Dezembro;;R$ 14.814.250,40;;;-;;;R$ 407.977,79;;;R$ 805.843,81;;;R$ 260.215,42;;;R$ 663.683,22;;;;R$ 16.951.970,64;
;TOTAL;;;R$ 572.355.341,54;;;R$ 164.444.037,16;;;R$ 82.043.076,98;;;R$ 9.316.051,74;;;R$ 3.539.319,66;;;R$ 2.017.470,68;;;R$ 833.715.297,76;
;%;;;68,651%;;;19,724%;;;9,841%;;;1,117%;;;0,425%;;;0,242%;;;100%;
