;61/2018;CEB DISTRIBUIÇÃO;23/11/2018;IRR P SUL – Ceilândia;;;29/11/2023;Valor Global: R$ 76.800,00;;;;;
12;62/2018;CEB DISTRIBUIÇÃO;23/11/2018;IRR SCIA – Brasília;;;29/11/2023;;Valor Global:;;;DELIVAL LEMOS DE SOUZA /;
;;;;;;;;;R$ 76.800,00;;;BRUNA KARLA SOARES ARAUJO;
13;63/2018;CENTRO BRASILEIRO DE PESQUISA EM AVALIAÇÃO E SEÇÃO E DE PROMOÇÃO DE EVENTOS - CEBRASPE;21/12/2018;Concurso Público;;;21/12/2021;R$ 0,00;;;PATRICIA LEMOS XAVIER / CRISTINA DE SABOYA GOUVEIA SANTOS;;
14;20/2019;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS - ECT;10/06/2019;Fornecimento de serviço de vendas de produtos de Correios;;;10/06/2022;R$ 19.200,00;;;RUBENS BARROZO DA SILVA / ROGER FRAGOSO SOUZA;;
15;25/2019;COMBUSTÍVEIS GOLDI;09/12/2019;Abastecimento de veículos;;;10/12/2021;;Mensal: R$ 46.488,00 Anual: R$;;LINCOLN CORREIA CABRAL;;
;;;;;;;;;557.856,00;;;;
16;02/2020;CS BRASIL FROTAS LTDA;29/01/2020;Locação de veículos automotores;;;28/01/2022;R$ 633.195,72;;;VITALIA DE OLIVEIRA MORAIS / NATÁLIA TEIXEIRA GONÇALVES;;
17;03/2020;CEB;29/01/2020;Fornecimento de energia elétrica;;;02/02/2025;Global: R$ 250.000,00;;;LINCOLN CORREIA CABRAL;;
18;04/2020;CAESB;31/01/2020;Abastecimento de Água Potável;;;31/03/2025;Global: R$ 250.000,00;;;LINCOLN CORREIA CABRAL;;
19;14/2020;NP CAPACITAÇÃO E SOLUÇÕES TECNOLOGICAS LTDA;28/07/2020;Prestação de serviços de fornecimento da ferramenta de pesquisa e comparação de preços;;;28/07/2021;Global: R$ 7.990,00;;;MARIA DE FÁTIMA DO NASCIMENTO DIAS / LUCINEIDE MARIA DOS SANTOS BASTOS;;
20;15/2020;HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA;14/09/2020;Prestação de serviços de confecção e entrega de carimbos para atendimento das necessidades deste SLU/DF;;;14/09/2021;Global: R$ 1.947,00;;;MARIA DE FÁTIMA DO NASCIMENTO DIAS / LUCINEIDE MARIA DOS SANTOS BASTOS;;
21;05/2021;CALEVI MINERADORA E COMÉRCIO LTDA;07/05/2021;;A aquisição de material do gênero;;06/05/2022;R$ 2.740,00;;;VITÁLIA DE OLIVEIRA MORAIS / NATÁLIA TEIXEIRA GONÇALVES;;
;;;;;alimentício (água potável) e material de;;;;;;;;
;;;;;acondicionamento e embalagem;;;;;;;;
;;;;;(garrafão retornável - vasilhame);;;;;;;;
22;07/2021;CASA CIVIL - DODF;18/03/2021;Publicação no Diário Oficial;;;17/03/2022;Global: R$ 150.000,00;;;;AVELANGE PEREIRA DURÃES /;
;;;;;;;;;;;;MARCIANO CLEY FERREIRA;
;;;;;;;;;;;;CHIMENES;
23;08/2021;CONNEC – TELECOMUNICAÇÕES;14/04/2021;Chamadas locais de telefonia fixa móvel;;;13/04/2022;Mensal: R$ 12.920,07 Anual: R$ 155.040,84;;;FERNANDO SABINO AMURIM / LUANA MARIA FREIRE DA SILVA;;
24;12/2021;INDÚSTRIADE ÁGUA MINERAL IBIÁ LTDA, NOS;13/09/2021;;Aquisição de material do gênero;;13/09/2022;Global: R$ 11.232,00;;;VITÁLIA DE OLIVEIRA MORAIS / NATÁLIA TEIXEIRA GONÇALVES;;
;;;;;alimentício (água potável) e material de;;;;;;;;
;;;;;acondicionamento e embalagem;;;;;;;;
;;;;;(garrafão retornável - vasilhame);;;;;;;;
25;14/2021;AIRES TURISMO LTDA EPP;13/08/2021;Prestação de serviços de agenciamento de viagens.;;;13/08/2022;Global: R$ 40.000,004;;;THAYANE DAS NEVES SOARES / ANGÉLICA CÁSSIA DE ALMEIDA;;
