05/2025.;COOPERATIVA DE TRABALHO DE COLETA SELETIVA DE MATERIAIS RECICLÁVEIS E RESÍDUOS SÓLIDOS (RECICLO);20/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;20/01/2026;R$ 34.434,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
04/2025.;COOPERATIVA DE TRABALHO ESPECIAL LIBERDADE PARA SONHAR (CTELS);20/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;20/01/2026;R$ 177.748,31;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
03/2025.;COOPERATIVA DE TRABALHO E DE MATERIAL RECICLADO E DE EDUCACAO AMBIENTAL NOVA ESPERANCA (COOPERNOES);17/01/2025;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;17/01/2026;R$ 916.770,82;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
01/2025;FUNDAÇÃO GETÚLIO VARGAS - FGV;11/02/2025;"O CONTRATO TEM POR OBJETO A CONTRATAÇÃO DIRETA, POR DISPENSA DE LICITAÇÃO, CONFORME ART. 75, INCISO XV DA LEI Nº 14.133/2021 DE EMPRESA DE CONSULTORIA ESPECIALIZADA NA ELABORAÇÃO DE ESTUDOS TÉCNICOS, VISANDO O APOIO À FUTURA CONTRATAÇÃO DE EMPRESA PARA A PRESTAÇÃO DE SERVIÇOS DE “COLETA E TRANSPORTE DE RESÍDUOS SÓLIDOS URBANOS, INCLUSIVE EM ÁREAS DE DIFÍCIL ACESSO; COLETA SELETIVA; COLETA MANUAL DE ENTULHOS, COLETA MECANIZADA DE ENTULHOS, VARRIÇÃO MANUAL DE VIAS E LOGRADOUROS PÚBLICOS, VARRIÇÃO MECANIZADA DE VIAS E LOGRADOUROS PÚBLICOS; OPERAÇÃO DAS UNIDADES DE TRANSBORDO E SERVIÇOS COMPLEMENTARES";11/02/2027;R$ 3.550.000,00;EDMUNDO PACHECO GADELHA, MATHEUS SILVESTRE DA SILVA, KEURYN ANDERSON DE OLIVEIRA
46/2024;APCORC;09/11/2024;"O CONTRATO TEM POR OBJETO A CONTRATAÇÃO DIRETA, POR DISPENSA DE LICITAÇÃO, CONFORME ART. 75, INCISO IV, ALÍNEA ""J"", DA LEI Nº 14.133/2021, DA ASSOCIAÇÃO PRÉ-COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE CEILÂNDIA - APCORC/DF, PARA A PRESTAÇÃO DE SERVIÇO PÚBLICO DE PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS, COMPREENDENDO AS ATIVIDADES DE RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO FRUTO DESTA ATIVIDADE, PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF NA QNP 28 AE RUA S/N - USINA DE TRATAMENTO MECÂNICO BIOLÓGICO UTMB/SLU – CEILÂNDIA/DF";09/11/2025;R$ 1.579.722,26;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA E ADRIANA CESÁRIO DA CONCEIÇÃO
29/2022;COOPERATIVA DE TRABALHO ESPECIAL LIBERDADE PARA SONHAR - CTELS;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 22 - ARNIQUEIRA,;30/04/2026;R$ 465.380,74;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
28/2022;COOPERATIVA DE TRABALHO E DE MATERIAL RECICLADO E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA COOPERNOES;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 21 - SCIA;30/04/2026;R$ 502.488,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
27/2022;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E DE EDUCAÇÃO AMBIENTAL - NOVA SUPERAÇÃO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 20 - SIA;30/04/2026;R$ 434.026,44;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
26/2022;PLANALTO COOPERATIVA AMBIENTAL;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE LOTE 19 - SETOR DE MANSÕES DE SOBRADINHO 1 E FERCAL,;30/04/2026;R$ 530.400,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
25/2022;COOPERATIVA DE TRABALHO DE CATADORES FLOR DO CERRADO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS;30/04/2026;R$ 671.496,44;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO,
