;QUADRO RESUMO DA GESTÃO DAS IRRS EM FUNCIONAMENTO;;;;;;;
;IRR;;;Endereço;;;Associação/ Cooperativa;
CTR 1;;;SCIA, Pátio Ferroviário, CTR 1;;;Ambiente;;
;;;;;;Coopernoes;;
SCIA NOVO;;;SCIA, Quadra 09, Conj. 01, Lote 02;;;;Cooperfé;
;;;;;;;Cortrap;
CTR 2;;;SCIA, Pátio Ferroviário, CTR 2;;;Construir;;
;;;;;;Recicla Brasília;;
;;;;;;Coorace;;
P Sul;;;;QNP 28 Área Especial – P Sul s/nº Área;;;Coopere;
;;;;da Usina do SLU, CEP - 72235-816;;;Plasferro;
SAAN;;;SAAN QUADRA 2, LOTE 650;;;Cootraempocap - ASAS;;
;;;;;;Cooperlimpo 2;;
SCIA ALUGADO;;;;SCIA Quadra 10, Conjunto 01 Lotes 2 e 3;;;Cootraempocap - ASAS;
;;;;- Brasília - DF;;;Ambiente;
Brazlândia;;;AE – n° 02 Lotes I a L – Setor Norte – Área de transbordo do SLU;;;Acobraz;;
;Paranoá**;;;Qd. 5 Coj. D Lote 1 e 2 – Paranoá/DF;;;Recicla Mais Brasil;
SIA*;;;SIA Trecho 17, RUA 8, LOTE 105;;;Coopativa;;
;;;;;;Renascer;;
;Usina de Tratamento;;;L4 Sul, AE - UTL - USINA Asa Sul -;;;Renove;
;Microbiológico - Asa Sul;;;Brasília/DF;;;Cooperlimpo;
;Usina de Tratamento;;QNP 28 AE - UTMB - USINA Ceilândia/DF;;;Apcorc;;
;Microbiológico - P Sul;;;;;Cataguar;;
