;URE – NOVO CONTRATO;;;;;;;;;;;;;;;
;Item;;;Serviços;;;SETEMBRO (6 A 30);;OUTUBRO;;NOVEMBRO;;DEZEMBRO;;TOTAL;
;P1;;;ATERRAMENTO DE INERTES E SERVIÇOS DE INFRAESTRUTURA;;;R$ 330.054,24;;R$ 509.897,85;;R$ 439.232,85;;R$ 430.271,66;;R$ 1.709.456,60;
;P2;;;EXECUÇÃO DOS SERVIÇOS DE BRITAGEM DE SERVIÇOS CORRELATOS;;;R$ 359.927,89;;R$ 384.997,38;;R$ 263.157,53;;R$ 285.065,04;;R$ 1.293.147,84;
;P3;;;VIÁRIOS;;;R$ 261.835,93;;R$ 166.359,95;;R$ 47.210,81;;R$ 94.074,22;;R$ 569.480,91;
;P4;;;IMPLANTAÇÃO DE DRENAGEM PLUVIAL DE GÁS;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;R$ 0,00;;R$ 0,00;
;P5;;;MANUTENÇÃO;;;R$ 176.092,62;;R$ 191.064,57;;R$ 125.921,09;;R$ 227.876,80;;R$ 720.955,08;
P6;;;;MONITORAMENTO GEOTÉCNICO, AMBIENTAL, ESTUDOS DE;;R$ 324.677,97;;;R$ 345.957,97;;;R$ 324.677,97;;R$ 1.319.991,88;;
;;;;;;;;;;;R$ 324.677,97;;;;;
;;;;ENGENHARIA, AS BUILT, DESPEZAS FIXAS DE ÁGUA E ENERGIA;;;;;;;;;;;;
CUSTOS INDIRETOS, LUCROS E TRIBUTOS- BDI 20,45%;;;;;;R$ 297.054,38;;;R$ 326.847,80;;R$ 245.440,95;R$ 278.521,98;;;R$ 1.147.865,11;
;TOTAL;;;;;;R$ 1.749.643,03;;R$ 1.925.125,52;;R$ 1.445.641,20;;R$ 1.640.487,67;;R$ 6.760.897,42;
