;NÚMERO DE VIAGENS POR IRR/CTR NO ANO DE 2022.;;;;;;;;;;
;GALPÃO (ENTRADA);;;Peso (t);;;N° Viagens;;;Representatividade (%);
;CTR 1;;8.978,73;;;6.405;;;21,12%;;
;CTR 2;;8.041,32;;;4.378;;;18,92%;;
;IRR P SUL;;6.509,13;;;266;;;15,69%;;
;IRR SCIA NOVO;;5.808,26;;;392;;;14,00%;;
;IRR SAAN;;1.853,21;;;12;;;4,47%;;
;USINA DL SUL;;397,53;;;12;;;0,96%;;
;GALPÃO PRÓPRIO CEILÂNDIA;;780,62;;;1.375;;;1,88%;;
;GALPÃO PRÓPRIO PLANALTINA;;4.344,07;;;12;;;10,47%;;
;GALPÃO PRÓPRIO SANTA MARIA;;1.015,82;;;80;;;2,45%;;
;GALPÃO PRÓPRIO SÃO SEBASTIÃO;;192,96;;;4.879;;;0,47%;;
;GALPÃO PRÓPRIO SOBRADINHO;;679,37;;;213;;;1,64%;;
;GALPÃO PRÓPRIO VARJÃO;;301,20;;;2.833;;;0,73%;;
;IRR BRAZLÂNDIA;;1.509,57;;;2.939;;;3,64%;;
;IRR PARANOÁ;;752,13;;;602;;;1,81%;;
;SIA - LINHA DO TREM;;607,62;;;1.196;;;1,46%;;
;USINA CEILÂNDIA SUL;;733,96;;;101;;;1,77%;;
;Total;;;42.505,49;;;31.627;;;100,00%;
