;;;;IRR P SUL;;;;;IRR SCIA NOVO;
Mês;;;;Quantidade Mensal;;;;;Quantidade Mensal Recebida;
;;;;Recebida (Ton);;;;;(Ton);
;Janeiro;;622,12;;;;;368,76;;
;Fevereiro;;408,07;;;;;470,36;;
;Março;;402,19;;;;;476,67;;
;Abril;;612,76;;;;;469,59;;
;Maio;;664,20;;;;;398,85;;
;Junho;;539,88;;;;;395,11;;
;Julho;;523,34;;;;;508,12;;
;Agosto;;436,59;;;;;538,39;;
;Setembro;;363,46;;;;;520,52;;
;Outubro;;480,24;;;;;588,50;;
;Novembro;;468,99;;;;;637,85;;
;Dezembro;;;540,58;;;;;579,78;
;TOTAL;;;6.064,13;;;;;5.956,81;
