VARRIÇÃO MANUAL DE VIAS E LOGRADOUROS PÚBLICOS (EM QUILÔMETROS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total lote;Média
Lote I;59.829,58;55.207,17;57.419,94;57.200,59;61.108,75;56.796,00;64.317,57;64.296,96;57.707,994;44.646,37;33.514,04;37.092,95;649.138;54.095
Lote II;29.716,929;27.430,618;28.561,32;28.068,01;29.683,94;27.398,95;30.868,960;30.816,886;27.398,806;22.019,43;18.744,79;19.708,92;320.417,56;26.701
Lote III;18.332,46;16.936,73;17.664,54;17.198,91;18.312,79;16.893,40;19.010,66;18.991,00;16.794,90;22.702,11;23.438,76;25.427,40;231.704;19.309
Total;107.878,96;99.574,51;103.645,80;102.467,52;109.105,48;101.088,35;114.197;114.105;101.902;89.368;75.698;82.229;1.201.259;100.105
