CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
;;;ASSINATURA/;;;;;
;;;INÍCIO DA;;;;;
;;;VIGÊNCIA;;;;;
18/2019;VALOR AMBIENTAL LTDA;05/07/2019;;;SERVIÇO DE COLETA URBANA - LOTE I;09/10/2025;R$ 911.125.174,79;MARIA VITORIA NAVA SILVA DO CARMO, ANA SOFIA CAVALCANTI JUCÁ, MAYARA JORDANA BARROS OLIVEIRA SANTOS, LUANDA WALESKA DE SOUZA, THAYANE DAS NEVES SOARES, JULIÃO PIRES DA MOTA, IVAN CUNHA, JOAQUINA FONSECA DA SILVA, MARIA PINTO BRANDÃO, VALDEMIR INÁCIO ATAÍDE, JOSÉ LÚCIO LOPES, REGINA LOPES DA SILVA, DANIELA DE JESUS SOARES
19/2019;SUSTENTARE SANEAMENTO S/A;05/07/2019;;;SERVIÇO DE COLETA URBANA - LOTE II;09/10/2025;R$ 624.597.669,62;GABRIEL MIRANDA SERRÃO, MAURÍCIO DE GOIS GOMES, LUANDA WALESKA DE SOUZA, THAYANE DAS NEVES SOARES, DANIELA DE JESUS SOARES, VALTENE SANTOS RIBEIRO, VERA LÚCIA BRAGA DIAS GONÇALVES, ÁGUEDO FRANCISCO DA SILVA, CLAUDIO LUIS SOUZA BORGES, FREDERICO MARX OLIVEIRA SILVA
24/2019;SUMA BRASIL - SERVIÇOS URBANOS E MEIO AMBIENTE S.A.;09/10/2019;;;SERVIÇO DE COLETA URBANA - LOTE III;09/10/2025;R$ 725.911.114,02;DEUSIMAR CARLOS PINTO, EMIVALDO BATISTA NETO, JOSÉ RONALDO GONÇALVES, CARLOS HENRIQUE SILVA, MARCELO ANTÔNIO RIBEIRO, RAIMUNDO MACHADO DOS SANTOS, THAÍS MATOS RESENDE, DANIELA JESUS SOARES, AMANDA BRITO BARBOSA
03/2021;BELFORT GERENCIAMENTO DE RESÍDUOS LTDA;04/03/2021;;;SERVIÇOS DE COLETA, TRANSPORTE, TRATAMENTO E DISPOSIÇÃO FINAL, DE FORMA REGULAR, DOS RESÍDUOS DE SERVIÇOS DE SAÚDE;04/03/2025;R$ 4.269,24;FRANCISCO ANTONIO MENDES JORGE, ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, FRANCISCO ANTONIO MENDES JORGE E MANOEL MESSIAS FRANCISCO SOUZA
48/2024;NORESA NOVO RIO ENERGIA;26/11/2024;;;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE, PARA DESTINAÇÃO FINAL, DE RESÍDUOS DA CONSTRUÇÃO CIVIL, DE PODAS E GALHADAS E DE VOLUMOSOS ENTREGUES NOS PONTOS DE ENTREGA VOLUNTÁRIA DE PEQUENOS VOLUMES - PEVS PELA POPULAÇÃO;26/11/2025;R$ 1.707.750,00;FRANCILIO RIBEIRO JUNIOR, EVERALDO ANTÔNIO DE ARAÚJO, MARCELO LOPES VIEIRA BEZERRA, AMALIA LIVIA FONSECA CARDOSO, THAYANE DAS NEVES SOARES
