;NÚMERO DE VIAGENS POR IRR/CTR EM 2023;;;;;;;;;;
;GALPÃO (ENTRADA);;;Peso (t);;;N° Viagens;;;Representatividade (%);
;CTR 1;;10.242,47;;;5721;;;19,27%;;
;CTR 2;;5.793,89;;;3087;;;10,90%;;
;USINA DL SUL;;5.499,80;;;2131;;;10,35%;;
;USINA CEILÂNDIA SUL;;4.317,48;;;2820;;;8,12%;;
;GALPÃO PRÓPRIO CEILÂNDIA;;1.012,00;;;1155;;;1,90%;;
;GALPÃO PRÓPRIO PLANALTINA;;382,99;;;520;;;0,72%;;
;GALPÃO PRÓPRIO SANTA MARIA;;770,02;;;742;;;1,45%;;
;GALPÃO PRÓPRIO SÃO SEBASTIÃO;;324,23;;;535;;;0,61%;;
;GALPÃO PRÓPRIO SOBRADINHO;;1.747,36;;;2466;;;3,29%;;
;GALPÃO PRÓPRIO VARJÃO;;749,83;;;622;;;1,41%;;
;IRR BRAZLÂNDIA;;504,86;;;441;;;0,95%;;
;IRR P SUL;;5.545,30;;;3851;;;10,43%;;
;IRR PARANOÁ;;1.072,99;;;1132;;;2,02%;;
;IRR SAAN;;1.375,56;;;771;;;2,59%;;
;IRR SCIA NOVO;;5.413,47;;;2861;;;10,18%;;
;IRR SCIA ALUGADO;;2.628,79;;;1376;;;4,94%;;
;SIA – TRECHO 17;;5.780,08;;;3637;;;10,87%;;
;TOTAL;;;53.161,14;;;33.868;;;100,00%;
