COOPERATIVA/ASSOCIAÇÃO;REGIÃO ADMINISTRATIVA ATENDIDA
Recicle a Vida;Samambaia
R3;Santa Maria
Renascer;Candangolândia e Núcleo Bandeirante
Acobraz;Brazlândia
Vencendo Obstáculos;Cruzeiro e Grandes Geradores
Cooperdife;Sobradinho I
Coopere;Riacho Fundo I e II
CRV;Lago Norte e Varjão
Ecolimpo;São Sebastião
Recicla Brasília;Lago Sul
Recicla Mais Brasil;Itapoã e Paranoá
