4º TRIMESTRE;;;;;;;;;
;;;;Implementação da Nova Lei de Licitações e Contratos – Lei nº 14.133/2021;;EGOV;;3;
;;;Acordo Ortográfico da Língua Portuguesa;;;;1;;
;;;Boas Práticas em Língua Portuguesa e Redação;;;;1;;
;;;Gestão e Fiscalização de Contratos;;;;29;;
;;;Desenvolvimento de competências gerenciais;;;;1;;
;;;Formação em ouvidoria;;;;1;;
;;;SIGGo essencial – do zero ao avançado: teoria e prática;;;;2;;
;;;Gestão de processos;;;;3;;
;;;Gestão do conhecimento;;;;1;;
;;;Sistema Eletrônico de Informações (SEI) – Módulo: Administrar;;;;3;;
;;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar;;;;14;;
;;;Sistema Eletrônico de Informações (SEI) - Módulo: Usar - versão 4.0;;;;2;;
;;;Sistema Único de Gestão de Recursos Humanos (SIGRH) – Módulo: Acerto de contas;;;;1;;
;;;Transformando o setor público com Inteligência Artificial (IA);;;;1;;
;;;[PROAMIS] Importância do pré-natal;;;;1;;
;;;[PROAMIS] Preparação para o parto e para o nascimento e papel dos acompanhantes e das doulas;;;;1;;
;;;[PROAMIS] Proteção à infância;;;;1;;
;;;[PROAMIS] Puerpério;;;;1;;
;;;[PROAMIS] Saúde Mental Materna;;;;1;;
;;;[PROAMIS] Triagem neonatal;;;;1;;
;;;Contabilidade com Foco na Gestão do Orçamento Público;;;ENAP;1;;
;;;Gestão e Fiscalização de Contratos Administrativos;;;;6;;
;;;Praticando a Gestão e Fiscalização de Contratos Administrativos;;;;1;;
;;;SEI Usar 4.0;;;;3;;
;;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar;;;;2;;
