;AÇÕES CONJUNTAS DE MOBILIZAÇÃO SOCIAL;;;;
;Data;;;Ação;
30/01/2025;;;Primeira rodada de capacitação do ano de 2025 com os mobilizadores das cooperativas contratadas para execução do serviço da coleta seletiva inclusiva.;;
26/02/2025;;;Mutirão do Mobilização em Ação em São Sebastião.;;
16/04/2025;;;Rodada de capacitação com os mobilizadores(as) das cooperativas e das Empresas SUMA Brasil, Sustentare Saneamento e Valor Ambiental.;;
26/05/2025;;;Mutirão de mobilização no setor Nova Colina, em Sobradinho.;;
12/06/2025;;;Reunião com os mobilizadores(as) das cooperativas para tratar do CIRSOL – Congresso Internacional de Resíduos Sólidos.;;
24 a 26/08/2025;;;Participação das cooperativas e de suas equipes de mobilização social na segunda edição da Conferência Internacional de Resíduos Sólidos e Saneamento - CIRSOL.;;
17/09/2025;;;Capacitação na sede do SLU-DF objetivando fornecer conteúdos relacionados a temática da comunicação verbal e não verbal, para que os agentes de educação ambiental das cooperativas pudessem adquirir maior sucesso durante as abordagens porta a porta realizadas.;;
30/10/2025;;;Palestra sobre Gestão de Resíduos sólidos e coleta seletiva realizada na UnDF.;;
05/11/2025;;;Palestra sobre Gestão de Resíduos sólidos e coleta seletiva realizada na Secretaria de Obras do DF.;;
04/12/2025;;;Palestra sobre Gestão de Resíduos sólidos e coleta seletiva realizada no IFB, na ocasião do evento Ciclo Consciente de boas práticas – Lixo Zero.;;
17/12/2025;;;Rodada de capacitação com os Mobilizadores da coleta seletiva inclusiva.;;
