;CUSTO DA OPERAÇÃO DOS PAPA ENTULHO (PEV);;;;;;;;;;;;;
Mês;;;;Coleta e transporte;;;Coleta e transporte manual;;;Coleta e Transporte manual;;Custo total;;
;;;;mecanizado de entulho;;;de podas;;;de Resíduos Volumosos;;;;
;Janeiro;;R$ 163.105,81;;;R$ 71.507,76;;;R$ 70.931,73;;;;R$305.545,30;
;Fevereiro;;R$ 164.689,36;;;R$ 71.507,76;;;R$ 70.931,73;;;;R$307.128,85;
;Março;;R$ 164.689,36;;;R$ 71.507,76;;;R$ 70.931,73;;;;R$307.128,85;
;Abril;;R$ 164.689,36;;;R$ 71.507,76;;;R$ 70.931,73;;;;R$307.128,85;
;Maio;;R$ 154.396,28;;;R$ 68.757,46;;;R$ 68.203,59;;;;R$291.357,33;
;Junho;;R$ 164.689,36;;;R$ 71.507,76;;;R$ 70.931,73;;;;R$307.128,85;
;Julho;;R$ 164.689,36;;;R$ 71.507,76;;;R$ 70.931,73;;;;R$307.128,85;
;Agosto;;R$ 167.971,20;;;R$ 73.813,99;;;R$ 74.160,66;;;;R$315.945,85;
;Setembro;;R$ 167.971,20;;;R$ 74.736,69;;;R$ 74.160,66;;;;R$316.868,55;
;Outubro;;R$ 167.163,65;;;R$ 74.736,69;;;R$ 74.160,66;;;;R$316.061,00;
;Novembro;;R$ 167.971,20;;;R$ 74.736,69;;;R$ 74.160,66;;;;R$316.868,55;
;Dezembro;;R$ 167.971,20;;;R$ 74.736,69;;;R$ 74.160,66;;;;R$316.868,55;
;TOTAL;;;R$1.979.997,34;;;R$870.564,77;;;R$864.597,27;;;R$3.715.159,38;
