QTD;PROCESSO Nº:;INSTAURADO/FI- NALIZADO EM:;CONCLUSÃO:;PRAZO:;OBJETO:
1;00094-00008597/2018-30;26/10/2018 e finalizado em 11/03/2019;Aplicação de penalidade de Advertência – Instrução nº 88, de 14/03/2019, publicada no DODF nº 50, p. 24, de 15/03/2019.;4 meses e 13 dias;Uso indevido de veículo oficial – condução de veículo oficial fora dos limites geográficos do DF
2;00094-00009239/2018-44;06/11/2018 e finalizado em 19/02/2019;Aplicação de penalidade de Advertência, conforme Instrução nº 65, de 25/02/2019, publicada no DODF nº 46, p. 22, de 11/03/2019.;3 meses e 13 dias;Uso indevido de veículo oficial – Avaria de veículo oficial em veículo particular.
3;00094-00009060/2018-97;09/11/2018 e finalizado em 01º/04/2019;Aplicação de penalidade de 1 (um) dia de suspensão, conforme Instrução nº 153, de 02/05/2019, publicada no DODF nº 86, p.10, de 09/05/2019.;5 meses e 23 dias;Uso indevido de veículo oficial – Condução de veículo oficial fora dos limites geográficos do Distrito Federal.
