;2005;2006;2007;2008;2009;2010;2011
;R$ 60.457.462,85;R$ 67.477.330,40;R$ 89.260.199,00;R$ 88.899.388,98;R$ 90.503.558,73;R$ 98.620.587,56;R$ 106.351.621,97
114-LIMPEZA PÚBLICA;2012;2013;2014;2015;2016;2017;
;R$ 113.585.231,56;R$ 133.964.473,00;R$ 130.782.508,70;R$ 145.753.320,00;R$ 155.527.079,00;R$ 161.403.927,00;
