Material;;;Média de Valor Unitário do comercializado (R$/Kg) (A);;;Média de Valor Unitário pago pelo SLU (R$/Kg) (B);;;Média de Valor Unitário total (R$/kg) (C);;;Valorização do Valor Unitário pelo SLU (C/A);;
;Diversos;;0,17;;;0,3;;;0,47;;;280%;;
;Metal;;6,97;;;0,3;;;7,27;;;104%;;
;Papel;;0,73;;;0,3;;;1,03;;;141%;;
;Plástico;;2,78;;;0,3;;;3,08;;;111%;;
;Vidro;;0,06;;;0,3;;;0,36;;;577%;;
;Médias;;;2,14;;;0,30;;;2,44;;;243%;
