;;;;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar (Presencial);;;3;;
;;;;;Cerimonial e protocolo de eventos (Presencial);;;1;;
;;;;;Marco Regulatório das Organizações da Sociedade Civil (MROSC) - Módulo: Manual MROSC-DF (Presencial);;;1;;
;;;;;O uso de shots e chás para a saúde da mulher (Presencial);;;1;;
;;;;;Design Thinking no serviço público (Presencial);;;1;;
;;;;;Desenvolvimento de competências gerenciais (EAD);;;1;;
;;;;;Acordo Ortográfico da Língua Portuguesa (EAD);;;2;;
;;;;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar (EAD);;;1;;
;;;;;Gestão de qualidade (EAD);;;1;;
;;;;;Gestão de processos (EAD);;;1;;
;;;;;Gestão de fiscalização de contratos (EAD);;;1;;
;;;FÓRUM;;Primeiro Fórum de Sustentabilidade no Distrito Federal (Presencial);;;3;;
;;;;SUBTOTAL DE SERVIDORES;;;;;184;
;E R T S E M IR T º 2;;CURSO;;Curso de Ambientação;SLU;;38;;
;;;PALESTRAS;;Assédio na Administração Pública;;;47;;
;;;;;Programa de Atenção ao Dependente Químico (PADQ);;;35;;
;;;CURSOS;;Acordo Ortográfico da Língua Portuguesa;EGOV;;2;;
;;;;;Atendimento ao Público - Turma 6/2022 (EAD);;;2;;
;;;;;Atualização em Gramática da Língua Portuguesa - Turma 5/2022;;;1;;
;;;;;Entendendo o Controle Social - Turma 1/2022;;;1;;
;;;;;Entendendo o superávit financeiro, com foco no SiGGo - Turma 1/2022;;;1;;
;;;;;Informática -Excel (Presencial);;;2;;
;;;;;Língua Brasileira de Sinais (Libras);;;3;;
;;;;;Gestão e Fiscalização de Contratos (EAD) - Turma 5/2022;;;1;;
;;;;;Gestão de Conflitos em Ouvidoria;;;2;;
;;;;;Gestão de Risco com base na NBR ISSO 31000/2018 - Turma 1/2022;;;1;;
;;;;;Media Trainning - Turma 2/2022;;;2;;
;;;;;Mediação de Conflitos para gestores e servidores da Administração Pública - Teoria e prática (Presencial);;;18;;
;;;;;Nova Lei de Licitações e Contratos - Turma 1/2022;;;1;;
;;;;;Segurança no Trabalho - Módulo Básico - Turma 1/2022;;;1;;
;;;;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar (EAD);;;2;;
;;;;;Tratamento de Acervos Arquivístico;;;2;;
;;;;;Gestão de Pessoas (EAD);ABELINE;;1;;
;;;;SUBTOTAL DE SERVIDORES;;;;;163;
;E R T S E M IR T º 3;;PALESTRAS;;Autoconhecimento como Base da Saúde Mental;SLU;;32;;
;;;;;DF-PREVICOM;;;29;;
;;;;;Inteligência Emocional;;;29;;
;;;;;Mindfulness e EFT;;;33;;
;;;;;Relaxamento Meditativo;;;30;;
;;;;;Prevenção ao Suicídio;;;34;;
;;;CURSOS;;II Seminário de Combate e Prevenção ao Assédio no Setor Público;EGOV;;2;;
;;;;;Gestão e Fiscalização de Contratos;;;4;;
;;;;;Assédio na Administração Pública;;;2;;
;;;;;Atualização em Gramática da Língua Portuguesa;;;2;;
;;;;;Desenvolvimento de competências Gerenciais;;;1;;
