;;;;;;Curso presencial: Ética e transparência no serviço público;;;;;;15;
;;;;;;Curso presencial: Gestão e fiscalização de contratos;;;;;;27;
;;;;;;Curso presencial: Atendimento inclusivo e acessível em ouvidoria;;;;;;3;
;;;;SUBTOTAL DE SERVIDORES;;;;;;;;131;
;E R T S E M IR T º 4;;PALESTRA;;;Palestra presencial: Outubro Rosa - Saúde da Mulher;;SLU;;;;31;
;;;;;;Palestra presencial: Equilíbrio Emocional - Técnicas de Relaxamento;;;;;;31;
;;;;;;Palestra presencial: POA - Programa de Orientação Para Aposentadoria;;;;;;15;
;;;;;;Palestra presencial: A Importância da Relação Interpessoal para a Qualidade do Trabalho;;;;;;27;
;;;CURSO;;;Curso on-line: Capacitação Técnica sobre o Aterro Sanitário de Brasília;;;FRAL;;;16;
;;;;;;Curso presencial: II Jornada DesEnvolver - Dicas valiosas de Português e Redação;;EGOV;;;;2;
;;;;;;Curso presencial: II Jornada DesEnvolver - Principais Técnicas em oratória;;;;;;1;
;;;;;;Curso on-line: Qualidade da resposta em ouvidoria;;;;;;3;
;;;;;;Curso presencial: Coleta Seletiva Solidária;;;;;;3;
;;;;;;Curso presencial: Gerenciamento de Projetos;;;;;;1;
;;;;;;Curso EAD: Sistema Eletrônico de Informações (SEI) - Módulo: Usar;;;;;;1;
;;;;;;Curso EAD: Acordo Ortográfico da Língua Portuguesa;;;;;;1;
;;;;;;Curso presencial: Língua Brasileira de Sinais (LIBRAS) - Módulo Básico I;;;;;;1;
;;;;;;Curso presencial: II Jornada DesEnvolver - Os princípios da Comunicação não Violenta;;;;;;1;
;;;;;;Curso on-line: Capacitação no Sistema de Gestão de Contratos;;;;;;1;
;;;;;;Curso on-line: Análise de denúncia no âmbito correcional - Turma 2/2021;;;;;;1;
;;;SEMINÁRIO;;;I Encontro de cultura de paz no setor público;;;;;;1;
;;;;;;I Seminário de combate e prevenção ao assédio no setor público;;;;;;2;
;;;;SUBTOTAL DE SERVIDORES;;;;;;;;139;
;TOTAL DE SERVIDORES;;;;;;;;;;;345;
