;RESUMO DAS ATIVIDADES EM 2023;;;;
;Atividade;;;Números;
;Museu da Limpeza Urbana;;6.747 Visitantes;;
;Atendimento Ouvidoria;;195;;
;Mobilização em Ação;;12 Edições;;
;Palestras;;22;;
;Campanha Cartão Verde;;10ª Fase;;
;Teatro;;72 Apresentações;;
