;DIVISÃO DO ORÇAMENTO (R$);;;;;;;;;;;;;;;;
TIPO DE DESPESA;;;;VALOR LIQUIDADO;;;;;;;;;;;;;
;;;;Pessoal Técnico;;Limpeza Pública²;;;Obras /Mat. Perm.;;;Manutenção Administrativa²;;;Total mensal;;
;;;;Administrativo¹;;;;;;;;;;;;;
;Janeiro;;R$ 8.923.938;;;R$ 48.975.567;;;-;;;R$ 657.176;;;;R$ 58.556.681;
;Fevereiro;;R$ 8.587.723;;;R$ 61.308.024;;;-;;;R$ 715.885;;;;R$ 70.611.632;
;Março;;R$ 8.854.991;;;R$ 52.353.832;;;-;;;R$ 870.168;;;;R$ 62.078.991;
;Abril;;R$ 8.362.125;;;R$ 42.429.853;;;-;;;R$ 834.127;;;;R$ 51.626.104;
;Maio;;R$ 8.352.531;;;R$ 67.853.993;;;-;;;R$ 573.965;;;;R$ 76.780.490;
;Junho;;R$ 8.519.008;;;R$ 56.557.317;;;R$ 2.241;;;R$ 1.047.270;;;;R$ 66.125.836;
;Julho;;R$ 8.538.388;;;R$ 58.226.049;;;-;;;R$ 1.244.120;;;;R$ 68.008.557;
;Agosto;;R$ 8.329.632;;;R$ 56.910.858;;;R$ 8.320;;;R$ 959.358;;;;R$ 66.208.168;
;Setembro;;R$ 8.140.319;;;R$ 55.170.299;;;R$ 1.201.219;;;R$ 1.021.579;;;;R$ 65.533.415;
;Outubro;;R$ 8.058.924;;;R$ 60.224.805;;;R$ 3.588.655;;;R$ 1.158.137;;;;R$ 73.030.521;
;Novembro;;R$ 7.915.223;;;R$ 57.206.830;;;R$ 1.514.319;;;R$ 830.710;;;;R$ 67.467.082;
;Dezembro;;R$ 8.811.694;;;R$ 973.884;;;R$ 1.496.912;;;R$ 1.354.795;;;;R$ 12.637.285;
;TOTAL;;;R$ 101.394.496;;;R$ 618.191.311;;;R$ 7.811.665;;;R$ 11.267.291;;;R$ 738.664.762;
;Média/Mês;;;R$ 8.449.541;;;R$ 51.515.943;;;R$ 650.972;;;R$ 938.941;;;R$ 61.555.397;
