;URE - ATERRAMENTO;;;;;;;;;;;;;;;;;;;;;;
Mês;;;;Operação e manutenção da;;Custo por tonelada;;;;Execução dos serviços de;;Custo por tonelada;;;Execução dos serviços de trituração de galhadas e podas;;;Custo por tonelada;;;Custo Total;;
;;;;unidade de recebimento de;;;;;;britagem de resíduos da;;;;;;;;;;;;;
;;;;entulhos;;;;;;construção civil;;;;;;;;;;;;;
;Janeiro;;R$ 1.416.291,00;;;R$ 13,21;;;R$ 178.661,70;;;R$ 9,32;;;R$ 875,82;;;R$ 9,36;;;R$ 1.595.828,52;;
;Fevereiro;;R$ 1.415.899,45;;;R$ 13,21;;;R$ 168.816,42;;;R$ 9,32;;;R$ 725,87;;;R$ 9,36;;;R$ 1.585.441,74;;
;Março;;R$ 1.514.642,62;;;R$ 13,21;;;R$ 185.376,85;;;R$ 9,32;;;R$ 905,95;;;R$ 9,36;;;R$ 1.700.925,42;;
;Abril;;R$ 1.339.384,22;;;R$ 13,21;;;R$ 246.809,07;;;R$ 9,32;;;R$ 589,96;;;R$ 9,36;;;R$ 1.586.783,25;;
;Maio;;R$ 1.745.195,95;;;R$ 13,21;;;R$ 279.978,58;;;R$ 9,32;;;R$ 852,70;;;R$ 9,36;;;R$ 2.026.027,23;;
;Junho;;R$ 1.929.487,47;;;R$ 13,21;;;R$ 251.400,29;;;R$ 9,32;;;R$ 1.335,95;;;R$ 9,36;;;R$ 2.182.223,71;;
;Julho;;R$ 1.914.098,75;;;R$ 13,55;;;R$ 247.547,22;;;R$ 9,72;;;R$ 1.329,12;;;R$ 9,36;;;R$ 2.162.975,08;;
;Agosto;;R$ 1.857.723,36;;;R$ 13,55;;;R$ 224.140,78;;;R$ 9,72;;;R$ 1.125,07;;;R$ 9,36;;;R$ 2.082.989,21;;
;Setembro;;R$ 1.979.530,49;;;R$ 13,55;;;R$ 237.568,83;;;R$ 9,72;;;R$ 1.458,81;;;R$ 9,36;;;R$ 2.218.558,13;;
;Outubro;;R$ 2.176.303,70;;;R$ 16,08;;;R$ 193.632,37;;;R$ 10,79;;;R$ 639,19;;;R$ 10,79;;;R$ 2.370.575,26;;
;Novembro;;R$ 1.881.098,86;;;R$ 16,08;;;R$ 143.156,65;;;R$ 10,79;;;R$ 1.092,81;;;R$ 10,79;;;R$ 2.025.348,32;;
;Dezembro;;R$ 1.903.229,40;;;R$ 16,37;;;R$ 145.334,24;;;R$ 11,11;;;R$ 1.205,47;;;R$ 11,41;;;R$ 2.049.769,11;;
;TOTAL;;;R$ 21.072.885,27;;;;;;R$ 2.502.423,00;;;;;;R$ 12.136,72;;;;;;R$ 23.587.444,99;
;Média;;;R$ 1.756.073,77;;;;;;R$ 208.535,25;;;;;;R$ 1.011,39;;;;;;R$ 1.965.620,42;
