DESPESAS COM ALUGUEL (R$);;;;;;;;;;;;;
;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Aluguel dos Galpões;94.294;77.213;77.213;77.213;77.213;77.213;77.213;77.213;77.213;77.213;77.213;77.213;943.635
Aluguel da Sede Adm.;111.126;111.126;111.126;111.126;111.126;111.126;111.126;111.126;111.126;111.126;111.126;111.126;1.333.508
Condomínio;22.756;22.756;22.756;22.756;22.756;22.756;22.756;22.756;22.756;22.756;22.756;22.756;273.072
Total;228.175;211.095;211.095;211.095;211.095;211.095;211.095;211.095;211.095;211.095;211.095;211.095;2.550.215
