;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;;8.915,52;;;8.192,45;;;8.875,90;;;8.844,35;;;8.816,15;;;8.558,66;;;9.314,61;;;8.950,92;;;8.964,75;;;9.319,49;;;8.627,39;;;8.961,20;;;106.341,39;;;8.861,78;
;Lote II;;;4.944,52;;;4.550,93;;;4.931,36;;;4.949,97;;;4.929,38;;;4.744,66;;;5.142,13;;;4.956,75;;;4.948,96;;;5.135,17;;;4.774,37;;;4.956,23;;;58.964,43;;;4.913,70;
;Lote III;;;4.094,25;;;3.772,82;;;4.078,01;;;3.746,10;;;3.883,56;;;3.924,90;;;4.248,41;;;4.044,42;;;4.044,48;;;4.204,09;;;3.896,97;;;3.837,57;;;47.775,58;;;3.981,30;
;Total;;;17.954,29;;;16.516,20;;;17.885,27;;;17.540,42;;;17.629,09;;;17.228,22;;;18.705,15;;;17.952,09;;;17.958,19;;;18.658,75;;;17.298,73;;;17.755,00;;;213.081,40;;;17.756,78;
