;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;Total;;;Média;
;Asa Sul;;3.622,69;;;2.802,31;;;3.724,61;;;3.524,89;;;3.980,53;;;3.797,09;;;3.533,11;;;4.006,94;;;4.260,96;;;3.390,72;;;3.198,58;;;4.006,94;;43.849,37;;3.654,11;;
;Sobradinho;;11.469,25;;;9.766,71;;;10.070,97;;;8.998,59;;;9.063,73;;;8.619,18;;;8.362,00;;;9.047,95;;;8.699,83;;;8.745,93;;;10.137,16;;;9.047,95;;112.029,25;;9.335,77;;
;Ceilândia;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;-;;-;;
;Brazlândia;;1.302,02;;;1.186,55;;;1.137,80;;;1.080,48;;;1.025,87;;;941,77;;;915,31;;;992,03;;;954,07;;;996,08;;;1.138,24;;;954,07;;12.624,29;;1.052,02;;
;Gama;;18.556,37;;;16.939,94;;;18.182,01;;;17.117,90;;;17.550,00;;;17.550,00;;;17.353,00;;;17.489,18;;;17.550,00;;;17.550,00;;;17.550,00;;;17.489,18;;210.877,58;;17.573,13;;
;Total;;;34.950,33;;;30.695,51;;;33.115,39;;;30.721,86;;;31.620,13;;;30.908,04;;;30.163,42;;;31.536,10;;;31.464,86;;;30.682,73;;;32.023,98;;;31.498,14;379.380,49;;;31.615,04;
