;;;;IRR P-SUL;;;;;;IRR SCIA NOVO;;;;
;Mês;;;Quantidade Mensal Recuperada (Ton);;;Aproveitamento (%);;;Quantidade Mensal Recuperada (Ton);;;Aproveitamento (%);
;Janeiro;;205,90;;;;39%;;234,13;;;;51%;
;Fevereiro;;163,94;;;;42%;;259,64;;;;56%;
;Março;;154,83;;;;34%;;307,91;;;;54%;
;Abril;;184,86;;;;44%;;284,84;;;;55%;
;Maio;;195,23;;;;43%;;265,67;;;;49%;
;Junho;;195,04;;;;51%;;239,37;;;;47%;
;Julho;;;165,55;;;48%;;;255,80;;;53%;
;Agosto;;;221,57;;;47%;;;287,10;;;52%;
;Setembro;;;317,42;;;60%;;;165,21;;;47%;
;Outubro;;;245,63;;;50%;;;91,58;;;28%;
;Novembro;;;299,66;;;52%;;;103,67;;;29%;
;Dezembro;;;257,27;;;52%;;;75,33;;;26%;
;TOTAL;;;2.606,90;;;47%;;;2.570,25;;;47%;
