TIPO;EVENTO;INSTITUIÇÃO;NÚMERO DE SERVIDORES
CURSOS NO EXTERIOR;Programa de melhoria da capacidade de Gestão de Resíduos Sólidos (JAPÃO);JAICA;2
;Avaliação de viabilidade regulatória em relação às diversas formas de Resíduos Sólidos (FRANÇA E ALEMANHA);Office L'Eau;1
