;DISPENSAS DE LICITAÇÃO E PEQUENAS COMPRAS FINALIZADAS (DEZ/2025);;;;;;;;;
PROCESSO;;OBJETO;MODALIDADE;SITUAÇÃO;CONTRATADA;VALOR;ID PNCP;;CONTRATO OU;
;;;;;;;;;EMPENHO;
00094-00006024/2024-10;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO CORRETIVA E PREVENTIVA DAS CANCELAS E CÂMERAS DAS UNIDADES DO SLU;DISPENSA ELETRÔNICA Nº 90001/2025;AUTORIZADA EM 28/2/2025;SHOW TECNOLOGIA DA INFORMAÇÃO E COMÉRCIO DE EQUIPAMENTO DE INFORMÁTICA LTDA CNPJ: 09.388.567/0001-51;R$ 42.000,00;01567525000176-1-000025/2025;2025NE00375;;
00094-00006091/2024-34;;AQUISIÇÃO DE BONECOS DE VESTIR QUE SERÃO UTILIZADOS NAS AÇÕES EDUCATIVAS DO SLU/DF DIRECIONADAS À COMUNIDADE DO DISTRITO FEDERAL;DISPENSA ELETRÔNICA Nº 90002/2025;AUTORIZADA EM 31/03/2025;CRIAR E ANIMAR INDUSTRIA E COMÉRCIO LTDA CNPJ 01.344.239/0001-41;R$ 12.900,00;01567525000176-1-000027/2025;2025NE00588;;
00094-00006492/2024-94;;AQUISIÇÃO DE OBJETOS DE CONSUMO, QUE CONSISTEM EM MATERIAIS E PRODUTOS DE LIMPEZA E HIGIENE, DE USO CONTÍNUO E DE REPOSIÇÃO FREQUENTE, CONFORME ESPECIFICAÇÕES E;DISPENSA ELETRÔNICA Nº 90003/2025;AUTORIZADA EM 18/3/2025;TORRES DISTRIBUIDORA LTDA, CNPJ Nº 17.182.371/0001-34 (ITENS 1, 3, 6 E 8) PLANALTO SOLUÇÕES LTDA, CNPJ Nº 18.456.136/0001-76 (ITENS 5 E 7);R$ 26.899,45;01567525000176-1-000029/2025;2025NE00473 2025NE00474 2025NE00487 2025NE00489;;
