;MÊS;;;VOLUME (M³);
;Janeiro;;50.050,0;;
;Fevereiro;;29.400,0;;
;Março;;30.220,0;;
;Abril;;18.099,0;;
;Maio;;12.430,0;;
;Junho;;15.090,0;;
;Julho;;13.820,0;;
;Agosto;;11.990,0;;
;Setembro;;11.950,0;;
;Outubro;;15.270,0;;
;Novembro;;24.130,0;;
;Dezembro;;35.720,0;;
;Média diária;;;735,0;
;Total;;;268.270,0;
