;ATENDIMENTO À IMPRENSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Janeiro;;;Fevereiro;;;Março;;;Abril;;;Maio;;;Junho;;;Julho;;;Agosto;;;Setembro;;;Outubro;;;Novembro;Dezembro;
;Emissoras de TV;;29;;;16;;;31;;;35;;;27;;;22;;;29;;;29;;;22;;;36;;;27;;23;
;Jornais;;2;;;1;;;6;;;1;;;2;;;2;;;8;;;4;;;-;;;7;;;5;;1;
;Portais;;-;;;2;;;2;;;3;;;7;;;4;;;9;;;4;;;-;;;1;;;-;;-;
;Emissoras de rádio;;-;;;-;;;1;;;-;;;4;;;2;;;1;;;1;;;1;;;4;;;-;;1;
;Outros;;2;;;-;;;1;;;3;;;7;;;-;;;-;;;-;;;1;;;1;;;-;;-;
;Total Parcial;;;33;;;19;;;41;;;42;;;47;;;30;;;47;;;38;;;24;;;49;;;32;25;
;TOTAL;;;427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
