;;JAN;FEV;MAR;ABR;MAI;;;JUN;;JUL;;AGO;;SET;;OUT;;;NOV;;;DEZ;;;Total lote;Média;
;Lote I;36.499,92;35.043,47;39.474,97;36.727,29;38.335,97;;38.481,67;;;38.600,68;;40.001,98;;38.510,66;;38.588,31;;38.511,74;;;39.983,88;;;458.760,540;;38.230,045;
;Lote II;23.213,26;22.076,86;24.935,68;23.158,51;24.174,37;;24.102,04;;;24.278,40;;25.003,92;;24.024,57;;24.185,92;;23.765,91;;;24.986,43;;;287.905,870;;23.992,156;
;Lote III;25.736,21;24.618,48;27.723,68;25.129,59;27.388,85;;27.501,27;;;27.541,48;;28.599,85;;26.474,75;;22.303,07;;24.368,44;;;28.476,14;;;315.861,810;;26.321,818;
;Total;85.449,390;81.738,810;92.134,330;85.015,390;89.899,190;;;90.084,980;;90.420,560;;93.605,750;;89.009,980;;85.077,300;;;86.646,090;;;93.446,450;;1;.062.528,220;88.544,018;
