10;JUNHO;;12. Agenda Ambiental na;;Maria Fernanda;66;Servidores do SLU e convidados
;;;Administração Pública do;;;;
;;;DF;;;;
24;;13. Coleta Seletiva;;;Paulo Celso;66;Servidores do SLU e convidados
12;AGOSTO;14. Melhoria de Processos;;;Wilson Lopes;55;Servidores do SLU e convidados
19;;15. OAB;;;Diversos;17;Servidores do SLU e convidados
27;;16. CORSAP;;;Diversos;66;Servidores do SLU e convidados
02;SETEMBRO;17. Catadores x Coleta Seletiva;;;Katia Machado;70;Servidores do SLU e convidados
16;;18. Cinco menos que são mais;;;Katia Machado;68;Servidores do SLU e convidados
23;;19. Descarte de resíduos sólidos;;;Katia Machado;56;Servidores do SLU e convidados
07;OUTUBRO;20. Cooperativismo;;;Ciro Corrêa;45;Servidores do SLU e convidados
21;;21. Brasília Limpa - Lançamento da campanha;;;Heliana Kátia;60;Servidores do SLU e convidados
11;NOVEMBRO;22. Coleta Seletiva;;;Fátima Abreu;45;Servidores do SLU e convidados
25;;23. Aterro Oeste;;;Luciana Soares Nogueira;62;Servidores do SLU e convidados
09;DEZEMBRO;24. Confraternização e entrega de Certificados;;;Heliana Kátia e Ronoilton;57;Servidores do SLU e convidados
;;24 EVENTOS;;;;1412;
