Curso no Brasil e exterior;Curso de treinamento “Designing of E-Waste Management (JICA);Japão;1
;Curso: “Enhancement of Solid Waste Management Capacity (Advance, Plannig & Policy)” (Melhoria da Capacidade de Gestão de Resíduos Sólidos - Aplicação, Planejamento e Política) promovido pela Agência de Cooperação Internacional do Japão (JICA);Japão (JICA);1
;Iniciativa Municipal de Resíduos Sólidos -Municipal Solid Waste Initiative (MSWI);Suécia;2
Curso no Brasil e exterior;8º Simpósio Internacional de Tratamento Mecânico e Biológico (TMB), Valorização de materiais (FRM) e Reciclagem;Alemanha;1
;Visita Técnica à empresa Hiriya Company/Tel Aviv;Israel;1
;II Curso Internacional em Gestão Sustentável de Resíduos Sólidos- Caribe, Valparaíso, Chile;Chile;1
Congressos;14º Congresso Brasileiro de Pregoeiros;Foz do Iguaçu/PR;2
;49º Congresso Nacional de Saneamento da Assemae;Cuiabá/MT;1
;Evento Region Pairing: Generic agenda for meetings between Cities EU and LAC;Curitiba/PR;1
;98º curso de capacitação e 87º de certificação em ouvidoria;São Paulo/SP;1
;Aterros Sanitários: Licenças/Projetos/Operação;São Paulo/SP;1
;Visita Técnica às Instalações da empresa Hydros Soluções Ambientais;Teresina/PI;2
Subtotal III;;;15
