;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;4,06;;;13,39;;;10,38;;;34,08;;;14,73;;;23,58;;;24,20;;;15,88;;;22,62;;;26,46;;;22,60;;;39,82;;;;251,80;;;20,98;
;Asa sul;;2,05;;;11,49;;;0,66;;;1,06;;;11,35;;;6,68;;;13,99;;;4,92;;;17,92;;;22,15;;;31,48;;;28,46;;;;152,21;;;12,68;
;Brazlândia 1;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;;0,00;;;0,00;
;Brazlândia 2;;0,00;;;1,53;;;0,00;;;0,75;;;0,00;;;0,00;;;0,00;;;0,00;;;0,94;;;0,00;;;0,00;;;1,26;;;;4,48;;;0,37;
;Ceilândia 1;;27,47;;;17,65;;;32,88;;;22,59;;;25,79;;;20,29;;;15,85;;;17,58;;;29,39;;;36,82;;;39,96;;;50,62;;;;336,89;;;28,07;
;Ceilândia 2;;18,02;;;11,47;;;19,03;;;10,41;;;51,13;;;12,32;;;12,42;;;10,63;;;1,32;;;66,99;;;12,42;;;8,20;;;;234,36;;;19,53;
;Gama 1;;11,22;;;27,67;;;20,27;;;18,84;;;34,87;;;23,08;;;42,85;;;28,48;;;34,88;;;27,70;;;15,08;;;50,16;;;;335,10;;;16,26;
;Gama 2;;6,85;;;8,73;;;4,84;;;5,72;;;16,28;;;15,21;;;10,71;;;2,00;;;23,77;;;22,89;;;16,89;;;12,98;;;;146,87;;;12,24;
;Guará 1;;4,94;;;1,08;;;7,16;;;36,15;;;25,87;;;5,43;;;23,36;;;45,20;;;44,70;;;9,17;;;31,48;;;105,05;;;;339,59;;;28,30;
;Guará 2;;6,25;;;8,09;;;12,35;;;8,58;;;5,54;;;6,76;;;9,71;;;10,12;;;14,06;;;45,54;;;10,65;;;16,14;;;;153,79;;;12,82;
;Lago Norte;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,62;;;0,00;;;0,00;;;0,00;;;62,43;;;5,12;;;3,40;;;;71,57;;;5,96;
;Paranoá;;10,33;;;22,48;;;16,26;;;31,12;;;30,48;;;16,05;;;29,71;;;25,53;;;55,08;;;7,14;;;34,22;;;43,00;;;;321,40;;;26,78;
;Planaltina;;10,77;;;2,39;;;1,41;;;1,01;;;0,00;;;0,00;;;0,00;;;1,00;;;0,95;;;35,22;;;11,70;;;21,98;;;;86,43;;;7,20;
;Pôr do Sol;;12,92;;;5,04;;;12,66;;;7,86;;;12,69;;;8,48;;;5,75;;;9,54;;;2,86;;;2,03;;;7,02;;;7,38;;;;94,23;;;7,85;
;Recanto das Emas;;4,25;;;3,26;;;6,11;;;1,54;;;8,71;;;0,00;;;1,78;;;2,35;;;2,79;;;5,81;;;5,91;;;7,78;;;;50,29;;;4,19;
;Samambaia;;10,19;;;1,14;;;10,70;;;15,79;;;11,96;;;9,33;;;19,49;;;10,92;;;6,16;;;6,37;;;12,63;;;13,09;;;;127,77;;;10,65;
;Santa Maria 1;;8,15;;;2,36;;;16,10;;;4,14;;;5,62;;;2,16;;;3,13;;;5,87;;;2,68;;;6,74;;;9,86;;;15,56;;;;82,37;;;6,86;
;Santa Maria 2;;4,66;;;2,40;;;2,74;;;0,00;;;3,29;;;0,00;;;1,66;;;1,85;;;0,99;;;19,90;;;3,56;;;0,00;;;;41,05;;;3,42;
;São Sebastião 1;;7,83;;;22,95;;;6,19;;;16,46;;;5,26;;;4,89;;;4,96;;;0,00;;;11,78;;;21,21;;;11,91;;;14,61;;;;128,05;;;10,67;
;São Sebastião 2;;10,47;;;8,23;;;1,28;;;5,17;;;4,02;;;3,92;;;2,07;;;0,87;;;1,20;;;15,82;;;4,32;;;17,34;;;;74,71;;;6,23;
;Sobradinho I – 1;;4,69;;;11,88;;;18,37;;;22,08;;;6,95;;;21,86;;;15,61;;;17,88;;;17,01;;;4,99;;;25,41;;;22,08;;;;188,81;;;15,73;
;Sobradinho I – 2;;9,71;;;7,88;;;10,75;;;9,70;;;12,16;;;13,70;;;16,09;;;19,56;;;22,64;;;13,52;;;15,46;;;32,51;;;;183,68;;;15,31;
;Sobradinho II;;22,68;;;11,14;;;27,07;;;18,33;;;11,12;;;10,28;;;9,85;;;7,53;;;23,18;;;19,04;;;15,58;;;14,94;;;;190,74;;;15,90;
;Taguatinga;;16,25;;;19,95;;;27,86;;;30,86;;;42,98;;;49,53;;;49,71;;;49,40;;;34,51;;;12,05;;;58,41;;;61,63;;;;453,14;;;37,76;
;TOTAL;;;213,76;;;222,20;;;265,07;;;302,24;;;340,80;;;254,17;;;312,90;;;287,11;;;371,43;;;489,99;;;396,55;;;587,99;;;3.730,49;;;325,78;
