;;;Setembro;;;54,69;;;4,90;
;;;Outubro;;;54,27;;;4,59;
;;;Novembro;;;55,69;;;5,53;
;;;Dezembro;;;68,27;;;6,67;
;;;;TOTAL;;;710,36;;;66,49
GALPÃO PRÓPRIO SANTA MARIA - Cooperativa R3;;;;Mês;;;Quantidade Mensal Recebida (Ton);;;Quantidade Mensal de Rejeito (Ton)
;;;Janeiro;;;33,72;;;5,02;
;;;Fevereiro;;;32,82;;;6,43;
;;;Março;;;37,59;;;6,89;
;;;Abril;;;30,34;;;5,17;
;;;Maio;;;32,80;;;7,33;
;;;Junho;;;34,19;;;5,26;
;;;Julho;;;32,76;;;4,81;
;;;Agosto;;;40,00;;;7,02;
;;;Setembro;;;38,15;;;6,75;
;;;Outubro;;;34,58;;;5,74;
;;;Novembro;;;40,58;;;6,33;
;;;Dezembro;;;48,07;;;7,58;
;;;;TOTAL;;;435,60;;;74,33
GALPÃO PRÓPRIO SÃO SEBASTIÃO - Cooperativa Ecolimpo;;;;Mês;;;Quantidade Mensal Recebida (Ton);;;Quantidade Mensal de Rejeito (Ton)
;;;Janeiro;;;21,99;;;11,12;
;;;Fevereiro;;;20,31;;;5,18;
;;;Março;;;25,17;;;5,46;
;;;Abril;;;21,97;;;3,14;
;;;Maio;;;20,78;;;4,59;
;;;Junho;;;21,52;;;4,86;
;;;Julho;;;20,93;;;3,08;
;;;Agosto;;;23,40;;;19,50;
;;;Setembro;;;17,21;;;2,63;
;;;Outubro;;;20,47;;;3,07;
;;;Novembro;;;19,59;;;2,95;
;;;Dezembro;;;20,88;;;4,62;
