;;;JAN;FEV;;MAR;ABR;MAI;;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;Média;
;NURES;;14.470,28;15.200,14;;15.327,68;14.532,08;13.450,53;14.751,66;;14.039,26;13.366,97;13.288,37;16.452,06;15.178,55;15.301,00;175.358,58;14.613,22;
;(Psul);;;;;;;;;;;;;;;;;;
;NUCOP (L4;;5.193,97;6.093,46;;5.900,62;5.420,82;6.652,72;6.793,74;;4.194,37;5.518,53;6.073,54;7.204,07;8.295,31;8.648,57;75.989,72;6.332,48;
;Sul);;;;;;;;;;;;;;;;;;
;Total;;19.664,25;21.293,60;;21.228,30;19.952,90;20.103,25;;21.545,40;18.233,63;18.885,50;19.361,91;23.656,13;23.473,86;23.949,57;251.348,30;20.945,69;
