;;;;JAN;FEV;MAR;ABR;;;MAI;;;JUN;;;JUL;AGO;SET;;OUT;;;NOV;;DEZ;;;Total;;;Média;
Asa Sul;;;;7.347,49;4.697,47;6.144,47;5.480,62;;3.526,77;;;3.724,22;;;6.029,82;;4.972,88;4.946,13;4.151,35;;;3.196,97;;4.305,80;;;58.523,99;;;4.877,00;;
Sobradinho;;;;11.722,03;10.401,90;11.212,12;9.932,83;;9.544,90;;;9.909,49;;;9.289,77;;9.517,11;9.500,04;8.728,30;;;11.112,41;;12.334,84;;;123.205,74;;;10.267,15;;
;Ceilândia;;;-;-;-;-;;-;;;-;;;-;;-;-;-;;;-;;-;;;-;;;-;;
Brazlândia;;;;1.224,89;1.225,42;1.207,77;1.123,98;;1.051,60;;;1.094,18;;;1.009,54;;979,38;1.047,68;1.098,59;;;1.257,67;;1.284,14;;;13.604,84;;;1.133,74;;
Gama;;;;14.109,40;14.057,05;14.084,76;14.317,30;;14.408,81;;;15.063,44;;;14.436,47;;13.793,07;14.086,94;14.316,95;;;18.707,66;;19.557,61;;;180.939,46;;;15.078,29;;
;Total;;;34.403,81;30.381,84;32.649,12;30.854,73;;28.532,08;;;29.791,33;;;30.765,60;30.765,60;29.262,44;29.580,79;28.295,19;;;34.274,71;34.274,71;37.482,39;;;376.274,03;;;31.356,17;;
