Nº;CONTRATO Nº;EMPRESA;;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
1;07/2018;COOPERATIVA DE TRABALHO DE MATERIAL E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA - COOPERNOES;16/01/2018;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;16/01/2024;R$ 328.471,20;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
2;08/2018;ASSOCIAÇÃO DOS AMBIENTALISTAS DA VILA ESTRUTURAL - AMBIENTE;16/01/2018;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;16/01/2024;R$ 3.649.680,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
3;06/2018;COOPERATIVA DE RECICLAGEM AMBIENTAL - PLASFERRO;16/01/2018;;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;16/01/2024;Valor Global: 729.000,00;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
4;10/2018;COOPERATIVA OE RECICLAGEM, TRABALHO E PRODUÇÃO - CORTRAP;16/01/2018;;PRESTAÇÃO DE PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS NA RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO NO SIA QUADRA 10, CONJUNTO D LOTES 2 E 3 - BRASILIA/DF;16/01/2024;R$ 310.222,80;André Luiz Junqueira Guimarães, Anderson Fernandes de Moura, Adriana Cesário da Conceição, Lucas Levi de Jesus Santana
