;MÊS;;;QUANTIDADE;
;Janeiro;;4;;
;Fevereiro;;10;;
;Março;;2;;
;Abril;;3;;
;Maio;;2;;
;Junho;;2;;
;Julho;;2;;
;Agosto;;8;;
;Setembro;;4;;
;Outubro;;6;;
;Novembro;;8;;
;Dezembro;;0;;
;TOTAL;;;51;
