;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;;;Média;
;Lote I;;38.593,66;33.981,00;39.381,37;35.505,10;37.648,21;38.392,80;38.397,67;39.846,29;38.428,25;38.460,34;38.336,54;39.831,90;456.803,130;;;38.066,928;
;Lote II;;24.173,12;22.255,12;24.443,37;22.322,58;23.690,41;24.118,03;24.124,34;24.968,77;24.083,79;24.090,94;24.051,31;24.814,89;287.136,662;;;23.928,055;
;Lote III;;27.543,70;25.401,10;27.708,55;24.393,31;26.469,43;27.522,92;27.588,49;28.604,75;26.445,73;26.537,73;24.359,35;26.492,40;319.067,460;;;26.588,955;
;Total;;90.310,480;81.637,216;91.533,290;82.220,990;87.808,050;90.033,750;90.110,500;93.419,810;88.957,770;89.089,010;86.747,200;91.139,186;1.063.007,25;;;88.583,94;
