;SCIA Q.09;;;;;;
Mês;;;;Quantidade Mensal;;Aproveitamento (%);
;;;;Recuperada (Ton);;;
;Janeiro;;529,73;;;23%;
Fevereiro;;;528,66;;;34%;
Março;;;476,51;;;31%;
Abril;;;458,24;;;34%;
Maio;;;455,42;;;39%;
Junho;;;529,19;;;60%;
Julho;;;480,70;;;54%;
Agosto;;;489,38;;;44%;
Setembro;;;523,82;;;51%;
Outubro;;;468,43;;;53%;
Novembro;;;500,45;;;43%;
Dezembro;;;367,73;;;47%;
Subtotal (Ton) / Média (%);;;5.808,26;;;43%;
