;;;;;;;;;Data de;;;Data de;;;;;;;;;Valor Global;
;Nº;;;Empresa;;;Objeto;;;;;;;;Informações;;;Contrato;;;;
;;;;;;;;;Assinatura;;;Término;;;;;;;;;(R$);
3;;;Valor Ambiental – Lote III;;;*;;22/06/2012 03/12/2012 03/06/2013 12/09/2013 15/08/2014;;;08/04/2015;;;Concorrência 03/2007;;;094.000.800/2012 1º Aditivo 2º Aditivo 3º Aditivo 4º Aditivo;;;180.850.831;;
4;;;Valor Ambiental;;;Operação do Lixão do Jóquei;;15/06/2012 15/06/2013 13/06/2014;;;15/06/2013 14/06/2014 14/06/2015;;;Concorrência Pública 01/2011;;;094.001.687/2010 1º Aditivo 2º Aditivo;;;40.960.560;;
5;;;Stericycle;;;Coleta, Transporte e Descarga de resíduos dos serviços saúde;;16/06/2012 14/06/2013 16/06/2014 05/08/2014;;;16/06/2013 15/06/2014 15/06/2015 -;;;Concorrência Pública 01/2012;;;094.000.749/2010 1º Aditivo 2º Aditivo 3º Aditivo;;;14.582.589;;
