;TIPO DE DESPESA;;;TOTAL;
;Pessoal técnico administrativo;;R$ 7.182.659;;
;Limpeza Pública;;R$ 13.543.224;;
;Obras /Materiais Permanentes;;-;;
;Outros;;R$ 493.092;;
;Manutenção Administrativa;;R$ 646.054;;
;TOTAL;;;R$ 21.865.029;
