14;03/2020;CEB;29/01/2020;FORNECIMENTO DE ENERGIA ELÉTRICA;;;28/11/2025;;;;VITOR SIMÕES COELHO Matrícula nº 281.260-6, como Executor Titular MARCONE MENDONÇA DE ARAÚJO, matrícula nº 83.066-6, Executor Suplente;;
;;;;;;;;;R$ 265.000,00;;;;
;;;;;;;;;(duzentos e sessenta e;;;;
;;;;;;;;;cinco mil reais)- Anual;;;;
;;;;;;;;;R$ 1.325.000,00 (um;;;;
;;;;;;;;;milhão trezentos e vinte;;;;
;;;;;;;;;e cinco mil reais), c;;;;
15;04/2020;CAESB;10/02/2020;ABASTECIMENTO DE ÁGUA POTÁVEL;;;10/02/2025;187500;;;VITOR SIMÕES COELHO, MARCONE MENDONÇA DE ARAÚJO;;
16;09/2023;INDÚSTRIA DE ÁGUA MINERAL IBIÁ LTDA;07/06/2023;;A aquisição de material do gênero alimentício;;06/06/2024;27840;;;EDSON RODRIGUES DA SILVA e MARIA DE JESUS DA SILVA;;
;;;;;(água potável) e material de acondicionamento;;;;;;;;
;;;;;e embalagem (garrafão retornável - vasilhame);;;;;;;;
17;04/2023;CASA CIVIL;19/03/2023;;Publicações de matérias oficiais no Diário Oficial;;31/03/2024;GLOBAL: R$ 750.000,00;;;;AVELANGE PEREIRA DURÃES/;
;;;;;do Distrito Federal;;;;;;;CAMILA DE OLIVEIRA ALVES;
18;08/2021;CONNEC – TELECOMUNICAÇÕES;14/04/2021;CHAMADAS LOCAIS DE TELEFONIA FIXO MÓVEL;;;14/04/2024;;R$ 158.205,84 (cento e;;Fernando Sabino Amurim, Luana Maria Freire da Silva;;
;;;;;;;;;cinquenta e oito mil;;;;
;;;;;;;;;duzentos e cinco reais e;;;;
;;;;;;;;;oitenta e quatro;;;;
;;;;;;;;;centavos);;;;
19;22/2021;UNIVERSIDADE PATATIVA DO ASSARE;01/12/2023;;Prestação de serviço Agente de Integração para;;01/12/2024;R$ 51.092,00 (cinquenta e um mil noventa e dois reais);;;MARIA DO ROSÁRIO DE LIMA GALENO/ AMANDA GOMES MARTINS;;
;;;;;operacionalização de Programa de Estágio não;;;;;;;;
;;;;;Obrigatório no Serviço de Limpeza Urbana do;;;;;;;;
;;;;;Distrito Federal.;;;;;;;;
20;30/2022;CAESB;03/05/2022;;Prestação dos serviços públicos de;;16/05/2027;R$ 27.868,32 (vinte e sete mil, oitocentos e sessenta e oito reais e trinta e dois centavos);;;Luís Fernando Monteiro Barbosa, Vitor Simões Coelho, Simone Alves Silva Gameiro de Souza;;
;;;;;abastecimento de água, esgotamento sanitário;;;;;;;;
;;;;;e outros serviços para as dependências do;;;;;;;;
;;;;;CONSUMIDOR, referentes a Pontos de Entrega;;;;;;;;
;;;;;Voluntária - PEVs, nas unidades de consumo .;;;;;;;;
21;39/2022;NEOENERGIA DISTRIBUIÇÃO BRASILIA S.A.;25/08/2022;;Prestação do Serviço Público de Distribuição de;;25/08/2027;634420;;;BRUNO DOS SANTOS NEVES e ANA SOFIA CAVALCANTI JUCA;;
;;;;;Energia Elétrica ao Consumidor e demais;;;;;;;;
;;;;;regulamentos expedidos pela Agência Nacional;;;;;;;;
;;;;;de Energia Elétrica – ANEEL;;;;;;;;
22;16/2023;NP TECNOLOGIA E GESTÃO DE DADOS LTDA;25/09/2023;;Fornecimento da ferramenta de pesquisas e;;24/09/2024;GLOBAL: R$ 10.275,00;;;MARCONE MENDONÇA DE ARAUJO, NEFÍ DE SOUZA FREITAS;;
;;;;;comparação de preços praticados pela;;;;;;;;
;;;;;administração pública, chamada BANCO DE;;;;;;;;
;;;;;PREÇOS;;;;;;;;
23;43/2022;DEDETIZADORA CASA LIMPA LTDA ME;14/12/2022;Prestação de serviços de controle de vetores e pragas urbanas, grupo 39.78,;;;14/12/2023;GLOBAL: R$ 467,509;;;;MARIA DE;
;;;;;;;;;;;;JESUS DA SILVA, EDSON RODRIGUES;
;;;;;;;;;;;;DA;
;;;;;;;;;;;;SILVA.;
24;44/2022;LÍDER ENGENHARIA E GESTÃO DE CIDADES LTDA - ME;04/01/2023;Prestação de serviço para revisão e atualização do Plano de Recuperação de Áreas Degradadas - PRAD;;;04/01/2024;;R$ 87.779,85 (oitenta e;;WANDERLEY DAS CHAGAS ALBUQUERQUE, VINICIUS DE ABREU MENDONÇA, CAMILA YARLA FERNANDES;;
;;;;;;;;;sete mil, setecentos e;;;;
;;;;;;;;;setenta e nove reais e;;;;
;;;;;;;;;oitenta e cinco;;;;
;;;;;;;;;centavos);;;;
25;01/2023;GRÁFICA E EDITORA MOVIMENTO LTDA;20/01/2023;;O objeto do presente instrumento é a;;20/01/2025;GLOBAL: R$ 3.988.765,70;;;GEOVANE BARRETO SAMPAIO, ROBERTO LOPES CORREIA, MILTON PEREIRA BARROS FILHO e VINÍCIUS DE SOUSA MENDONÇA;;
;;;;;contratação de empresa especializada na;;;;;;;;
;;;;;prestação de serviços gráficos para ações;;;;;;;;
;;;;;institucionais e promocionais promovidas pelo;;;;;;;;
;;;;;SLU/DF, sob demanda, e conforme condições,;;;;;;;;
