;;JAN;FEV;MAR;ABR;;MAI;;JUN;;JUL;;AGO;SET;OUT;NOV;DEZ;Total;;Média;
;NURES (Psul);17.306,86;14.953,03;16.493,18;16.461,68;15.628,34;;13.402,73;;14.677,12;;16.262,57;;14.920,94;17.210,21;18.728,15;17.058,36;193.103,17;;16.091,93;
;NUCOP (L4 Sul);9.233,86;9.056,66;9.334,39;9.289,73;8.629,13;;8.098,97;;8.821,19;;8.868,87;;8.080,71;9.655,13;10.467,41;9.657,41;109.193,46;;9.099,46;
;Total;26.540,72;24.009,69;25.827,57;25.751,41;;24.257,47;;21.501,70;;23.498,31;;25.131,44;23.001,65;26.865,34;29.195,56;26.715,77;302.296,63;;25.191,39;
