;;;;;;UTILIZAÇÃO E SISTEMA DE BILHETAGEM, CONTEMPLANDO DISPONIBILIZAÇÃO;;;;;;
;;;;;;DE ESTOQUE NAS UNIDADES PARA CUMPRIMENTO DOS NÍVEIS DE SERVIÇOS -;;;;;;
;;;;;;SLA,;;;;;;
17/2023;CENTRO DE DISTRIBUICAO DE ALIMENTOS;;;15/01/2024;;LOCAÇÃO DE IMÓVEL SITUADO À QUADRA 04 RUA D, LTS. 7/8 - SETOR DE;;01/01/2026;194.366,40;ANDRE LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES MOURA;;
;;;;;;INDÚSTRIA,;;;;;;
;;;;;;SOBRADINHO-DF;;;;;;
14/2023;AMORIM E BANDEIRA CONSTRUÇÃO;;;31/08/2023;MANUTENÇÃO PREDIAL;;;01/09/2025;R$ 2.565.800,00;;LUÍS FERNANDO MONTEIRO BARBOSA, EDSON;
;;;;;;;;;;;RODRIGUES DA SILVA;
12/2023;CONSÓRCIO SUSTENTARE-VALOR II;;;10/08/2023;OPERAÇÃO E MANUTENÇÃO DAS ETAPAS 3 E 4;;;10/11/2027;R$ 135.526.380,00;;WANDERLEY DAS CHAGAS ALBUQUERQUE,;
;;;;;;;;;;;LEONARDO YAMADA ARANTES, MAURÍCIO DE;
;;;;;;;;;;;GOIS GOMES, LUCAS DIOGO CAIXETA, THAYANE;
;;;;;;;;;;;DAS NEVES SOARES;
11/2023;UATUMÃ TURISMO E EVENTOS EIRELI;;;27/09/2023;AGENCIAMENTO DE VIAGENS;;;26/09/2025;R$ 53.730,00;;THAYANE DAS NEVES SOARES, BRUNA TOLEDO;
;;;;;;;;;;;DE ARAUJO MELO;
10/2023.;NOTORIUN TECNOLOGIA EM SOFTWARE LTDA;;;28/08/2023;SUSTENTAÇÃO/MANUTENÇÃO DOS SISTEMAS DE MONITORAMENTO;;;28/08/2026;R$ 740.000,00;;PERCILIO EUGÊNIO JUNIOR, VICTOR ALEXSANDER;
;;;;;;;;;;;OLIVEIRA SILVA;
04/2023.;CASA CIVIL;;;19/03/2023;PUBLICAÇÕES DE MATÉRIAS OFICIAIS NO DIÁRIO OFICIAL DO DISTRITO FEDERAL;;;19/03/2028;R$ 750.000,00;;AVELANGE PEREIRA DURÃES, CAMILA DE;
;;;;;;;;;;;OLIVEIRA ALVES;
01/2023.;GRÁFICA E EDITORA MOVIMENTO LTDA;;;20/01/2023;;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA;;28/11/2032;R$ 3.988.765,70;MILTON PEREIRA BARROS FILHO, VINÍCIUS DE SOUSA MENDONÇA, CARLOS ARENAS OSORI, PAULA NUNAN;;
;;;;;;ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS GRÁFICOS PARA AÇÕES;;;;;;
;;;;;;INSTITUCIONAIS E PROMOCIONAIS PROMOVIDAS PELO SLU/DF, SOB DEMANDA,;;;;;;
;;;;;;E CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO;;;;;;
;;;;;;TERMO DE REFERÊNCIA;;;;;;
22/2021;UNIVERSIDADE PATATIVA DO ASSARE;;;01/12/2023;;PRESTAÇÃO DE SERVIÇO AGENTE DE INTEGRAÇÃO PARA OPERACIONALIZAÇÃO;;02/12/2025;R$ 729.821,28;MARIA DO ROSÁRIO DE LIMA GALENO, AMANDA GOMES MARTINS;;
;;;;;;DE PROGRAMA DE ESTÁGIO NÃO OBRIGATÓRIO NO SERVIÇO DE LIMPEZA;;;;;;
;;;;;;URBANA DO DISTRITO FEDERAL.;;;;;;
16/2021;FRAL;;;25/08/2021;;PRESTAÇÃO DE SERVIÇOS DE ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E;;16/08/2025;R$ 410.400,07;LEONARDO YAMADA ARANTES, MAURÍCIO DE GOIS GOMES, WANDERLEY DAS CHAGAS ALBUQUERQUE, LUCAS DIOGO CAIXETA;;
;;;;;;ASSISTÊNCIA OPERACIONAL EM APOIO À FISCALIZAÇÃO DAS ATIVIDADES GERAIS;;;;;;
;;;;;;DO ATERRO SANITÁRIO DE BRASÍLIA - ASB, LOCALIZADO NA RODOVIA DF 180,;;;;;;
;;;;;;KM 21, BRASÍLIA - DF;;;;;;
08/2021.;CONNEC – TELECOMUNICAÇÕES;;;14/04/2021;CHAMADAS LOCAIS DE TELEFONIA FIXO MÓVEL;;;14/04/2025;R$ 155.040,84;;WAGNER SANTANA, LUANA MARIA FREIRE DA;
;;;;;;;;;;;SILVA;
30/2017;;NAVARRO PROCESSAMENTO DE DADOS LTDA;;17/10/2017;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE CENTRO DE TRIAGEM NO SETOR;;01/01/2026;R$ 391.263,96;;ANDRE LUIZ JUNQUEIRA GUIMARÃES,;
;;– ME;;;;DE ARMAZENAMENTO E ABASTECIMENTO NORTE – SAAN, BRASÍLIA/DF;;;;;ANDERSON FERNANDES DE MOURA;
21/2017;PILARES SERVIÇOS ADMINISTRATIVOS LTDA;;;26/07/2017;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE CENTRO DE TRIAGEM - SCIA,;;01/01/2026;R$ 299.988,26;;ADRIANA CESÁRIO DA CONCEIÇÃO, ANDRÉ LUIZ;
;;;;;;GUARÁ, BRASÍLIA/DF;;;;;JUNQUEIRA GUIMARÃES;
62/2025;LOOK PAINÉIS;;;03/12/2025;LOCAÇÃO DE IMÓVEL DE TERCEIROS;;;03/12/2028;420.000,00;;FRANCISCO KRISMAWILLAMS DE ALMEIDA;
;;;;;;;;;;;MAIA/KEURYN ANDERSON DE OLIVEIRA;
63/2025;CONSÓRCIO VALOR SUSTENTARE;;;11/12/2025;OPERAÇÃO DA UNIDADE DE RECEBIMENTO DE ENTULHOS NO DISTRITO FEDERAL;;;11/12/2025;47.025.000,00;;GUSTAVO DE OLIVEIRA COSTA/FELIPE LEITE;
;;;;;;;;;;;NISIYAMA/JOÃO GABRIEL SILVA DE GODOI;
69/2025;MCR;;;26/12/2025;;CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E;;26/12/2028;R$ 90.587,70;;JOÃO VICTOR PIRES/MISAEL BATISTA DE SOUZA;
;;;;;;COMUNICAÇÃO DE LICENÇAS DE SOFTWARES DE DESIGN GRÁFICO;;;;;SILVA;
70/2025;AVANTI ENGENHARIA E TECNOLOGIA LTDA;;;31/12/2025;;CONTRATAÇÃO DE SERVIÇO DE INSTALAÇÃO COM FORNECIMENTO DE SISTEMA;;31/12/2026;R$ 247.361,00;;ATÉ O PRESENTE MOMENTO SEM ORDEM DE;
;;;;;;DE MONITORAMENTO ELETRÔNICO, SISTEMA DE CONTROLE DE ACESSO;;;;;SERVIÇO;
