CONTRATO Nº;EMPRESA;;DATA DE;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
;;;ASSINATURA/;;;;
;;;INÍCIO DA VIGÊNCIA;;;;
50/2025;CITY CLEAN COMÉRCIO DE EQUIPAMENTOS LTDA;10/09/2025;;AQUISIÇÃO DE ATÉ 1.420 (HUM MIL QUATROCENTOS E VINTE) CONTÊINERES DE SUPERFÍCIE, FABRICADOS EM POLIETILENO DE ALTA DENSIDADE (PEAD), COM CAPACIDADE DE 1.000 LITROS, DESTINADOS AO ACONDICIONAMENTO DE RESÍDUOS SÓLIDOS URBANOS, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.;10/09/2026;R$ 1.596.080,00;EVERALDO ANTÔNIO DE ARAÚJO, THÉO ALBUQUERQUE DE PAULA, IGOR FRANCISCO DE MENDONÇA ABREU
37/2025;ASSOCIAÇÃO PRÉ COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE CEILÂNDIA-DF - APCORC;19/03/2025;;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES;19/03/2026;R$ 2.288.668,47;FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, KEURYN ANDERSON DE OLIVEIRA, GISLENE FERREIRA DOURADO SANTANA, NILSON DOS SANTOS CALDEIRA, ANDERSON FERNANDES DE MOURA
36/2025;OOPERATIVA DE TRABALHO DOS CATADORES COOPERFÉ – COOPERFÉ.;20/03/2025;;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, DECORRENTE DO CREDENCIAMENTO DE COOPERAVAS/ASSOCIAÇÕES DE CATADORES, PARA PRESTAÇÃO DE SERVIÇOS DE MANEJO DE RESÍDUOS URBANOS RECICLÁVEIS, COMPREENDENDO AS MODALIDADES DE TRIAGEM, CATAÇÃO, CLASSIFICAÇÃO, PROCESSAMENTO, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO DESSES RESÍDUOS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS.;20/03/2026;R$ 874.072,66;FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA, ANDERSON FERNANDES DE MOURA
