Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
1;02/2016;AGIEL;25/02/2019;CONTRATAÇÃO DE ESTAGIÁRIOS;24/05/2020;MENSAL: R$ 41.869,69 ANUAL: R$ 502.436,28;PATRÍCIA LEMOS XAVIER/ SIRLANE ALVES DA SILVA;VIGENTE
2;01/2017;COMISSÃO JOVEM GENTE COMO A GENTE;02/01/2017;CONTRATAÇÃO DE ASSOCIAÇÃO DE PESSOAS COM DEFICIÊNCIA FÍSICA, PARA DAR SUPORTE ÀS UNIDADES DA ESTRUTURA DO SLU;02/01/2020;MENSAL: 184.347,52 ANUAL: 1.790.959,20;CÉLIA MARIA SANTOS PESSOA/ MARTA ROSANE CABRAL;VIGENTE
