;RESÍDUOS RECUPERADOS EM TONELADAS POR MÊS EM 2023 (TONELADAS);;;;;;;;;;;;;;;;;;;
;Mês;;;Diversos;;;Metal;;;Papel;;;Plástico;;;Vidro;;;Total Geral;
;Janeiro;;48,21;;;242,98;;;1.368,93;;;1.047,80;;;440,58;;;;3.148,50;
;Fevereiro;;43,35;;;267,89;;;1.300,52;;;1.025,32;;;376,71;;;;3.013,79;
;Março;;49,19;;;262,81;;;1.362,82;;;1.127,13;;;388,07;;;;3.190,03;
;Abril;;65,21;;;206,17;;;1.430,80;;;1.064,33;;;416,94;;;;3.183,45;
;Maio;;43,35;;;251,45;;;1.380,46;;;1.178,99;;;449,67;;;;3.303,92;
;Junho;;53,49;;;257,06;;;1.421,09;;;1.195,99;;;474,09;;;;3.401,72;
;Julho;;39,72;;;250,15;;;1.368,51;;;1.035,99;;;476,16;;;;3.170,54;
;Agosto;;65,88;;;198,21;;;1.464,49;;;1.181,05;;;513,23;;;;3.422,86;
;Setembro;;55,77;;;214,19;;;1.361,69;;;1.348,69;;;478,90;;;;3.459,25;
;Outubro;;40,80;;;194,55;;;1.449,98;;;1.212,45;;;513,97;;;;3.411,75;
;Novembro;;37,54;;;215,60;;;1.431,10;;;1.374,66;;;461,75;;;;3.520,65;
;Dezembro;;34,00;;;213,16;;;1.462,79;;;1.393,09;;;389,24;;;;3.492,28;
;TOTAL;;;576,52;;;2.774,21;;;16.803,19;;;14.185,51;;;5.379,32;;;39.718,74;
