;ATERRO SANITÁRIO DE BRASÍLIA - ATERRAMENTO;;;;;;;
;Mês;;;Custo por tonelada;;;Total;
;Janeiro;;R$ 45,54;;;;R$ 3.271.373,19;
;Fevereiro;;R$ 45,54;;;;R$ 2.735.600,19;
;Março;;R$ 45,54;;;;R$ 2.837.269,97;
;Abril;;R$ 45,54;;;;R$ 2.915.869,73;
;Maio;;R$ 45,54;;;;R$ 2.830.551,91;
;Junho;;R$ 45,54;;;;R$ 2.591.334,84;
;Julho;;R$ 45,54;;;;R$ 2.789.243,48;
;Agosto;;R$ 45,54;;;;R$ 2.707.065,64;
;Setembro;;R$ 45,54;;;;R$ 2.838.330,59;
;Outubro;;R$ 45,54;;;;R$ 2.991.411,48;
;Novembro;;R$ 45,54;;;;R$ 3.056.634,78;
;Dezembro;;R$ 45,54;;;;R$ 3.630.222,92;
;TOTAL;;;;;;R$ 32.203.497,24;
