;Dia;;;Mês;;;Tema;;;Instrutores;;;Presentes;;;Público;
16;;;JANEIRO;;;;1. Gestão e execução dos;;Heliana Kátia, Ana LúciaeRonoilton (SLU);;;38;;;Direção e executores de contratos;;
;;;;;;;decretos do governador do;;;;;;;;;;
;;;;;;;DF;;;;;;;;;;
29;;;;;;2. Decretos do governador do DF;;;Ana Lúcia e Ronoilton (SLU);;;35;;;Direção e gerentes dos projetos;;
6;;;FEVEREIRO;;;3. Coleta seletiva e a relação com os catadores;;;Heliana Kátia, JairaPuppim, Ygor eFranciscoMendes;;;28;;;;Gestores contratos;
;;;;;;;;;;;;;;;;da coleta seletiva, da;
;;;;;;;;;;;;;;;;EA e de apoio aos;
;;;;;;;;;;;;;;;;catadores;
20;;;;;;4. Regionalização da disposição dos rejeitos na RIDE;;;Marcos Montenegro (NOVACAP) e Thiago Faquineli(SLU);;;45;;;Servidores do SLU e convidados;;
6;;;MARÇO;;;5. Educação ambiental e mobilização social;;;;Jane Vilas Boas;;123;;;Servidores do SLU e convidados (Ibram, Sema);;
;;;;;;;;;;(IBRAM), Daniela;;;;;;;
;;;;;;;;;;(Sema) e Heliana Kátia;;;;;;;
;;;;;;;;;;(SLU);;;;;;;
25;;;;;;6. Logística reversa de embalagens em geral;;;Ellen Dânia (ADASA) e Francisca Dutra (SLU);;;106;;;Servidores do SLU e convidados (Adasa);;
27;;;;;;7. Política Nacional de Resíduos Sólidos;;;ABRAMPA;;;12;;;Servidores do MPDFT e convidados;;
08;;;ABRIL;;;;8. Leis Nacionais de;;Heliana Kátia;;;55;;;;Servidores do SLU e;
;;;;;;;Saneamento Básico, de;;;;;;;;;convidados (MPDFT,;
;;;;;;;Resíduos Sólidos Urbanos e;;;;;;;;;ADASA, FUNASA,;
;;;;;;;o Plano de Saneamento;;;;;;;;;IBRAM, UNB);
22;;;;;;9. Educação Financeira;;;Alexandre Michel (BRB);;;66;;;;Servidores do SLU e;
;;;;;;;;;;;;;;;;convidados;
;;;;;;;;;;;;;;;;(Sustentare, CAESB e;
;;;;;;;;;;;;;;;;SES).;
13;;;MAIO;;;;10. Apresentação e;;Paulo Celso;;;127;;;Servidores do SLU e convidados;;
;;;;;;;evolução das atividades do;;;;;;;;;;
;;;;;;;SLU;;;;;;;;;;
27;;;;;;11. Destinação de resíduos especiais;;;Maria Fernanda;;;27;;;Servidores do SLU e convidados;;
