;Evolução da avaliação de notícias 2015/2016/2017;;;;;;;;;;;;;;;;;;;;
;;;;Negativas;;;;;;Positivas;;;;;Neutras;;;;;Total;
;2015;;;345;;;36%;;;196;;;21%;;405;;43%;;;946;
;2016;;;122;;;19%;;;220;;;34%;;305;;47%;;;647;
;2017;;;127;;;17%;;;403;;;52%;;239;;31%;;;769;
