;NÚMERO DE VIAGENS POR IRR/CTR EM 2024;;;;;;;;;;
GALPÃO (ENTRADA);;;Peso (t);;;N° Viagens;;;;Representatividade;
;;;;;;;;;;(%);
;CTR 1;;8.609,96;;;4.808;;;13,90%;;
;CTR 2;;6.317,47;;;3.636;;;10,51%;;
;DL SUL;;9.914,12;;;3.686;;;10,66%;;
;USINA CEILÂNDIA SUL;;755,13;;;1.001;;;2,89%;;
;GALPÃO PRÓPRIO CEILÂNDIA;;1.022,18;;;873;;;2,52%;;
;GALPÃO PRÓPRIO SOBRADINHO;;306,22;;;526;;;1,52%;;
;GALPÃO PRÓPRIO SANTA MARIA;;386,32;;;515;;;1,49%;;
;GALPÃO PRÓPRIO SÃO SEBASTIÃO;;724,56;;;611;;;1,77%;;
;GALPÃO PRÓPRIO VARJÃO;;2.725,37;;;2.347;;;6,79%;;
;GALPÃO SOBRADINHO;;352,64;;;426;;;1,23%;;
;IRR BRAZLÂNDIA;;6.064,13;;;4.202;;;12,15%;;
;IRR P SUL;;1.540,76;;;1.004;;;2,90%;;
;IRR PARANOÁ;;5.956,81;;;2.885;;;8,34%;;
;IRR SAAN;;3.512,34;;;1.730;;;5,00%;;
;IRR SCIA NOVO;;5.222,39;;;3.015;;;8,72%;;
;SCIA Quadra 10;;4.755,67;;;2.954;;;8,54%;;
;SIA - LINHA DO TREM;;620,55;;;365;;;1,06%;;
;Total;;;58.786,63;;;34.584;;;100,00%;
