;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
Lote I;1.384,71;1.411,35;1.051,88;0,00;0,00;0,00;165,23;897,53;955,91;1.019,09;1.522,47;1.605,01;10.013,18;834,43
Lote II;448,20;373,75;271,22;0,00;0,00;0,00;0,00;203,92;396,19;525,67;498,50;551,08;3.268,53;272,38
Lote III;610,93;383,96;442,64;0,00;0,00;0,00;0,00;157,10;411,58;490,70;1.143,20;1.389,21;5.029,32;419,11
Total;2.443,84;2.169,06;1.765,74;0,00;0,00;0,00;165,23;1.258,55;1.763,68;2.035,46;3.164,17;3.545,30;18.311,03;1.525,92
