;;Setembro;;69,08;;;2,68;;
;;Outubro;;80,30;;;10,48;;
;;Novembro;;76,60;;;25,35;;
;;Dezembro;;75,49;;;22,79;;
;;TOTAL;;;1.012,00;;;165,59;
GALPÃO PRÓPRIO SANTA MARIA - Cooperativa R3;Mês;;;;Quantidade Mensal;;;Quantidade Mensal de;
;;;;;Recebida (Ton);;;Rejeito (Ton);
;;Janeiro;;58,69;;;11,12;;
;;Fevereiro;;53,35;;;10,14;;
;;Março;;64,76;;;13,21;;
;;Abril;;54,82;;;7,35;;
;;Maio;;60,44;;;11,85;;
;;Junho;;60,42;;;21,89;;
;;Julho;;61,94;;;13,32;;
;;Agosto;;69,74;;;15,96;;
;;Setembro;;68,17;;;15,04;;
;;Outubro;;66,18;;;14,22;;
;;Novembro;;71,37;;;17,08;;
;;Dezembro;;80,15;;;24,20;;
;;TOTAL;;;770,02;;;175,38;
GALPÃO PRÓPRIO SÃO SEBASTIÃO - Cooperativa Ecolimpo;Mês;;;;Quantidade Mensal;;;Quantidade Mensal de;
;;;;;Recebida (Ton);;;Rejeito (Ton);
;;Janeiro;;27,88;;;4,11;;
;;Fevereiro;;24,25;;;4,41;;
;;Março;;27,91;;;4,57;;
;;Abril;;25,15;;;4,49;;
;;Maio;;28,00;;;4,85;;
;;Junho;;25,42;;;3,56;;
;;Julho;;27,08;;;3,44;;
;;Agosto;;34,22;;;4,83;;
;;Setembro;;30,46;;;4,72;;
;;Outubro;;27,64;;;6,47;;
;;Novembro;;24,66;;;2,22;;
;;Dezembro;;21,56;;;5,09;;
;;TOTAL;;;324,23;;;52,76;
