Manutenção das Atividades de Limpeza Pública;421.552.225,00;9.316.653,00;2.591.686,65;25.300,33;0,00;428.251.891,02;428.241.745,70;10.145,32;387.559.418,82
Manutenção das Instalações de Recuperação de Resíduos - IRR;1.218.359,00;-158.238,00;190.148,98;0,00;0,00;869.972,02;869.971,34;0,68;778.360,00
Tratamento e Manejo de Resíduos de Saúde;1.000.000,00;-363.600,00;220.000,00;0,00;0,00;416.400,00;416.400,00;0,00;416.400,00
Construção de Pontos de Entrega Voluntária - PEV's Distrito Federal;650.000,00;-358.000,00;0,00;0,00;0,00;292.000,00;292.000,00;0,00;189.525,96
(EPI) Construção de Pontos de Entrega Voluntária - PEV's Papa- Entulho DF;300.000,00;-300.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's - Samambaia;600.000,00;-600.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's - SANTA MARIA;30.000,00;0,00;0,00;0,00;0,00;30.000,00;30.000,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's - Candangolândia;300.000,00;-300.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's -;20.000,00;150.996,00;0,00;0,00;0,00;170.996,00;122.846,56;48.149,44;79.163,55
(EPI) Construção de Pontos de Entrega Voluntária - PEV's - Distrito Federal;990.000,00;-990.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Implantação de Papa- entulho;330.000,00;-330.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's;360.000,00;-360.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's Papa- Entulho DF;1.050.000,00;-1.050.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
