;REPRESENTATIVADE DAS RA NA DISTRIBUIÇÃO DE RESÍDUOS PARA IRR/CTR EM 2022;;;;;;;;;;
;RA;;;Representatividade (%);;;RA;;;Representatividade (%);
;Águas Claras;;;13,29%;;;Planaltina;;;0,99%;
;Arniqueira;;;0,28%;;;Plano Piloto;;;26,90%;
;Brazlândia;;;0,96%;;;Recanto das Emas;;;1,23%;
;Candangolândia;;;0,24%;;;Riacho Fundo;;;0,69%;
;Ceilândia;;;7,56%;;;Riacho Fundo II;;;0,38%;
;Cruzeiro;;;0,84%;;;Samambaia;;;1,85%;
;Fercal;;;0,09%;;;Santa Maria;;;2,41%;
;Gama;;;3,96%;;;São Sebastião;;;0,73%;
;Guará;;;8,88%;;;SCIA;;;0,25%;
;Itapoã;;;0,34%;;;SIA;;;0,36%;
;Jardim Botânico;;;1,58%;;;Sobradinho;;;1,89%;
;Lago Norte;;;2,44%;;;Sobradinho II;;;1,54%;
;Lago Sul;;;1,41%;;;Sudoeste;;;5,15%;
;Núcleo Bandeirante;;;0,30%;;;Taguatinga;;;9,04%;
;Paranoá;;;0,74%;;;Varjão;;;0,79%;
;Park Way;;;0,94%;;;Vicente Pires;;;1,95%;
;Total Geral;;;100,00%;;;;;;;
