;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;DEZ;Total lote;;;Média;
;Lote I;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;3,000;;36,00;;3,00;;
;Lote II;;7,960;;;7,800;;;7,996;;;7,840;;;7,624;;;7,845;;;7,888;;;7,914;;;7,877;;;7,901;;;7,789;;7,877;;94,31;;7,86;;
;Lote III;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;2,000;;24,00;;2,00;;
;Total;;;12,96;;;12,80;;;13,00;;;12,84;;;12,62;;;12,85;;;12,89;;;12,91;;;12,88;;;12,90;;;12,79;;12,88;154,31;;;12,86;
