;Quantitativos de resíduos aterrados no Aterro Sanitário de Brasília (em toneladas);;;;;;;;;;;;;
;;;;2018;;;2019;;;2020;;;2021;
;Média diária (t);;2.082,2;;;2.224,7;;;2.277,8;;;2.113,2;;
;Total aterrado (t);;749.608,6;;;800.890,8;;;820.001,0;;;760.763,0;;
