10/2024;COOPERATIVA COOPERE;16/01/2024;TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO;15/01/2025;R$ 433.576,80;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
37/2022;COOPERATIVA DE TRABALHO DOS CATADORES COOPERFÉ;29/07/2022;PRESTAÇÃO DE SERVIÇO PÚBLICO DE PROCESSAMENTO DE MATERIAIS RECICLÁVEIS NO ENDEREÇO SCIA Q. 09, CONJUNTO 01, LOTE 02.;29/07/2025;R$ 848.592,00 (OITOCENTOS E QUARENTA E OITO MIL QUINHENTOS E NOVENTA E DOIS REAIS).;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA ADRIANA CESÁRIO DA CONCEIÇÃO
