;Site SLU;FACEBOOK;Intranet SLU
Janeiro;17;96;32
Fevereiro;27;50;41
Março;26;33;39
Abril;15;29;30
Maio;17;72;34
Junho;21;44;31
Julho;0;0;30
Agosto;0;0;40
Setembro;0;0;41
Outubro;6;8;22
Novembro;15;32;29
Dezembro;9;22;25
Total;153;386;394
Total Geral;933;;
